id,name,修改需求,tier,weight,出現回合,同階張數,tags,description,modifiers_json,hooks_json
bloodlust,Bloodlust,,silver,100,"1,2,3",6,"ad,sustain",+15% Attack Damage and +8% Lifesteal.,"[{""stat"": ""ad"", ""op"": ""pctAdd"", ""value"": 0.15}, {""stat"": ""lifesteal"", ""op"": ""flat"", ""value"": 0.08}]",
arcane-focus,奧術專注,,silver,95,"1,2,3",6,"ap,offense",法術強度 +40，冷卻縮減 +8%。,"[{""stat"": ""ap"", ""op"": ""flat"", ""value"": 40}, {""stat"": ""cdr"", ""op"": ""flat"", ""value"": 0.08}]",
hunters-instinct,獵手直覺,,silver,90,"1,2,3",6,"crit,offense",暴擊率 +20%，攻擊力 +10%。,"[{""stat"": ""critChance"", ""op"": ""flat"", ""value"": 0.2}, {""stat"": ""ad"", ""op"": ""pctAdd"", ""value"": 0.1}]",
vital-surge,生命湧動,,silver,95,"1,2,3",6,"sustain,defense",最大生命 +12%，每秒生命回復 +25。,"[{""stat"": ""maxHealth"", ""op"": ""pctAdd"", ""value"": 0.12}, {""stat"": ""healthRegen"", ""op"": ""flat"", ""value"": 25}]",
swift-strikes,疾風連擊,,silver,100,"1,2,3",6,"attack-speed,offense",攻擊速度 +25%，移動速度 +8%。,"[{""stat"": ""as"", ""op"": ""pctAdd"", ""value"": 0.25}, {""stat"": ""ms"", ""op"": ""pctAdd"", ""value"": 0.08}]",
iron-bulwark,鐵壁護甲,,silver,100,"1,2,3",6,defense,最大生命 +18%，護甲 +20。,"[{""stat"": ""maxHealth"", ""op"": ""pctAdd"", ""value"": 0.18}, {""stat"": ""armor"", ""op"": ""flat"", ""value"": 20}]",
chill-touch,Chill Touch,,gold,60,"4,5,6",8,utility,Your Q also slows enemies by 25% for 1.5s.,,"[{""on"": ""onAbilityHit"", ""abilitySlot"": ""Q"", ""effects"": [{""kind"": ""applyStatus"", ""statusId"": ""slow25"", ""duration"": 1.5, ""moveSpeedMult"": 0.75}]}]"
spell-blade,咒刃,,gold,55,"4,5,6",8,"on-hit,offense",技能命中時，額外造成 30(+25% 法術強度 +15% 攻擊力) 法術傷害（每秒最多觸發一次）。,,"[{""on"": ""onAbilityHit"", ""internalCooldown"": 1, ""effects"": [{""kind"": ""damage"", ""damageType"": ""magic"", ""amount"": {""flat"": 30, ""ratios"": [{""stat"": ""ap"", ""coeff"": 0.25}, {""stat"": ""ad"", ""coeff"": 0.15}]}}]}]"
soul-reaver,噬魂,,gold,45,"4,5,6",8,sustain,擊殺敵人時，回復 15% 最大生命。,,"[{""on"": ""onKill"", ""target"": ""self"", ""effects"": [{""kind"": ""restore"", ""healthPct"": 0.15}]}]"
arcane-haste,奧術急速,,gold,55,"4,5,6",8,"utility,tempo",施放技能後，攻擊速度與移動速度 +15%，持續 2.5 秒。,,"[{""on"": ""onAbilityCast"", ""target"": ""self"", ""effects"": [{""kind"": ""applyBuff"", ""duration"": 2.5, ""modifiers"": [{""stat"": ""as"", ""op"": ""pctAdd"", ""value"": 0.15}, {""stat"": ""ms"", ""op"": ""pctAdd"", ""value"": 0.15}]}]}]"
guardian-ward,守護結界,,gold,50,"4,5,6",8,defense,受到傷害時，獲得相當於 6% 最大生命的護盾，持續 3 秒（4 秒冷卻）。,,"[{""on"": ""onDamageTaken"", ""target"": ""self"", ""internalCooldown"": 4, ""effects"": [{""kind"": ""shield"", ""amount"": {""ratios"": [{""stat"": ""maxHealth"", ""coeff"": 0.06}]}, ""duration"": 3}]}]"
berserkers-fury,狂戰之怒,,gold,55,"4,5,6",8,"attack-speed,offense",攻擊速度 +35%，攻擊力 +15%。,"[{""stat"": ""as"", ""op"": ""pctAdd"", ""value"": 0.35}, {""stat"": ""ad"", ""op"": ""pctAdd"", ""value"": 0.15}]",
bone-splitter,碎骨,,gold,55,"4,5,6",8,"on-hit,offense",每次普攻額外造成 25(+10% 攻擊力) 真實傷害。,,"[{""on"": ""onBasicAttack"", ""effects"": [{""kind"": ""damage"", ""damageType"": ""true"", ""amount"": {""flat"": 25, ""ratios"": [{""stat"": ""ad"", ""coeff"": 0.1}]}}]}]"
frost-shatter,霜寒爆裂,,gold,60,"4,5,6",8,"utility,cc",技能命中使敵人減速 40%，持續 2 秒。,,"[{""on"": ""onAbilityHit"", ""effects"": [{""kind"": ""applyStatus"", ""statusId"": ""slow40"", ""duration"": 2, ""moveSpeedMult"": 0.6}]}]"
aegis-surge,Aegis Surge,,prismatic,30,"7,8,9,10,11,12,13",17,defense,"On ability cast, gain a shield for 8% max HP (3s cooldown).",,"[{""on"": ""onAbilityCast"", ""target"": ""self"", ""internalCooldown"": 3, ""effects"": [{""kind"": ""shield"", ""amount"": {""ratios"": [{""stat"": ""maxHealth"", ""coeff"": 0.08}]}, ""duration"": 2.5}]}]"
immortal-bulwark,不朽壁壘,,prismatic,28,"7,8,9,10,11,12,13",17,defense,最大生命 +30%，護甲 +40，魔法抗性 +40。,"[{""stat"": ""maxHealth"", ""op"": ""pctAdd"", ""value"": 0.3}, {""stat"": ""armor"", ""op"": ""flat"", ""value"": 40}, {""stat"": ""mr"", ""op"": ""flat"", ""value"": 40}]",
second-wind,二度風息,,prismatic,30,"7,8,9,10,11,12,13",17,"sustain,defense",受到傷害時，回復 6% 最大生命與 6% 最大魔力（8 秒冷卻）。,,"[{""on"": ""onDamageTaken"", ""target"": ""self"", ""internalCooldown"": 8, ""effects"": [{""kind"": ""restore"", ""healthPct"": 0.06, ""manaPct"": 0.06}]}]"
momentum-core,動能核心,,prismatic,28,"7,8,9,10,11,12,13",17,"mobility,offense",施放技能後獲得 6 秒的 +25% 攻擊速度與 +15% 移動速度（4 秒冷卻）。,,"[{""on"": ""onAbilityCast"", ""target"": ""self"", ""internalCooldown"": 4, ""effects"": [{""kind"": ""applyBuff"", ""duration"": 6, ""modifiers"": [{""stat"": ""as"", ""op"": ""pctAdd"", ""value"": 0.25}, {""stat"": ""ms"", ""op"": ""pctAdd"", ""value"": 0.15}]}]}]"
arcane-overload,奧能超載,,prismatic,25,"7,8,9,10,11,12,13",17,"on-hit,offense",技能命中時，額外造成 60(+50% 法術強度) 法術傷害（每秒最多觸發一次）。,,"[{""on"": ""onAbilityHit"", ""internalCooldown"": 1, ""effects"": [{""kind"": ""damage"", ""damageType"": ""magic"", ""amount"": {""flat"": 60, ""ratios"": [{""stat"": ""ap"", ""coeff"": 0.5}]}}]}]"
phantom-step,幻影步,,prismatic,24,"7,8,9,10,11,12,13",17,"mobility,defense",迴避 +25%，移動速度 +20%，攻擊速度 +25%。,"[{""stat"": ""evasion"", ""op"": ""flat"", ""value"": 0.25}, {""stat"": ""ms"", ""op"": ""pctAdd"", ""value"": 0.2}, {""stat"": ""as"", ""op"": ""pctAdd"", ""value"": 0.25}]",
conqueror,征服者,,prismatic,22,"7,8,9,10,11,12,13",17,"snowball,offense",擊殺敵人後 8 秒內，攻擊力與法術強度 +35%、攻擊速度 +25%。,,"[{""on"": ""onKill"", ""target"": ""self"", ""effects"": [{""kind"": ""applyBuff"", ""duration"": 8, ""modifiers"": [{""stat"": ""ad"", ""op"": ""pctAdd"", ""value"": 0.35}, {""stat"": ""ap"", ""op"": ""pctAdd"", ""value"": 0.35}, {""stat"": ""as"", ""op"": ""pctAdd"", ""value"": 0.25}]}]}]"
