championId,name,work,lang,taunt,respond.ok,respond.no,love,thanks,puzzled,victory,quote,defeat,kill-1,note
community-review-01-20260907,武藤遊戲,遊戲王,ja,俺のターン、ドロー！|オレノ ターン ドロー,,,,,,それはどうかな？|ソレワ ドウカナ,ずっと俺のターン！|ズット オレノ ターン,,,
community-review-02-20260907,八神庵,THE KING OF FIGHTERS,ja,遊びは終わりだ！泣け、叫べ、そして死ね！|アソビワ オワリダ ナケ サケベ ソシテ シネ,,,,,,月を見るたび思い出せ|ツキオ ミルタビ オモイダセ,,,,
community-review-03-20260907,不知火舞,THE KING OF FIGHTERS,ja,花蝶扇！|カチョウセン,,,,,,よっ！日本一！|ヨッ ニッポンイチ,ごめんあそばせ！|ゴメン アソバセ,,,
community-review-04-20260907,空條承太郎,JoJo 的奇妙冒險,ja,やれやれだぜ|ヤレヤレ ダゼ,,,,,,てめーはおれを怒らせた|テメーワ オレオ オコラセタ,オラオラオラオラ！|オラ オラ オラ オラ,,,
community-review-05-20260907,洛克人,Mega Man,ja,ロックバスター！|ロック バスター,,,,,,メタルブレード！|メタル ブレード,ティウンティウン|ティウン ティウン,,,
community-review-06-20260907,卡比,星之卡比,ja,ぽよ！|ポヨ,,,,,,ぽよっ！|ポヨッ,,,,
community-review-07-20260907,西索,HUNTER×HUNTER,ja,そろそろ狩るか…♠|ソロソロ カルカ,,,,,,カンペキに勝つ♣だろ？ゴン♥|カンペキニ カツ ダロ ゴン,今すぐキミを壊したい…♥|イマスグ キミオ コワシタイ,,,quotes.json 目前留空（無出處）
community-review-08-20260907,米卡莎,進擊的巨人,ja,戦わなければ勝てない|タタカワナケレバ カテナイ,,,,,,この世界は残酷だ…そして…とても美しい|コノ セカイワ ザンコクダ ソシテ トテモ ウツクシイ,マフラーを巻いてくれてありがとう|マフラーオ マイテクレテ アリガトウ,,,
community-review-09-20260907,赫蘿,狼與辛香料,ja,わっちは賢狼ホロじゃ|ワッチワ ケンロウ ホロジャ,,,,,,わっちのじゃ|ワッチノジャ,ぬしと旅がしたい|ヌシト タビガ シタイ,,,quotes.json 目前留空（無出處）
community-review-10-20260907,魯路修,Code Geass 反叛的魯路修,ja,撃っていいのは撃たれる覚悟のある奴だけだ|ウッテ イイノワ ウタレル カクゴノ アル ヤツダケダ,,,,,,俺は世界を壊し、世界を創る|オレワ セカイオ コワシ セカイオ ツクル,ルルーシュ・ヴィ・ブリタニアが命じる。貴様たちは死ね！|ルルーシュ ヴィ ブリタニアガ メイジル キサマタチワ シネ,,,
community-review-11-20260907,利姆路,關於我轉生變成史萊姆這檔事,ja,悪いスライムじゃないよ！|ワルイ スライムジャ ナイヨ,,,,,,はじめまして、俺はスライムのリムル|ハジメマシテ オレワ スライムノ リムル,,,,quotes.json 目前留空（無出處）
community-review-12-20260907,衛宮士郎,Fate/stay night,ja,トレース・オン|トレース オン,,,,,,投影、開始|トウエイ カイシ,体は剣で出来ている|カラダワ ツルギデ デキテイル,,,
community-review-13-20260907,朝田詩乃,刀劍神域,ja,いつかあなたを倒す者の名前よ|イツカ アナタオ タオス モノノ ナマエヨ,,,,,,敗北を告げる弾丸の味を教えてあげる|ハイボクオ ツゲル ダンガンノ アジオ オシエテ アゲル,,,,quotes.json 目前留空（無出處）
community-review-14-20260907,殺老師,暗殺教室,ja,ヌルフフフフ|ヌルフフフフ,,,,,,殺せるといいですねぇ。卒業までに|コロセルト イイデスネエ ソツギョウマデニ,第二の刃持たざる者に暗殺者の資格なし！|ダイニノ ヤイバ モタザル モノニ アンサツシャノ シカク ナシ,,,quotes.json 目前留空（無出處）
community-review-15-20260907,比利海靈頓,,ja,歪みねぇな|ユガミ ネエナ,,,,,,だらしねぇな|ダラシ ネエナ,仕方ないね|シカタ ナイネ,,,quotes.json 目前留空（無出處）
