abilityId,abilityName,championId,owner,generatorFile,attr,coeff,payload,rawPct,apPct,apCoeff,currentHasAd,currentHasAp,currentHasNone,attrDamageLv30,apDamageLv30,deltaLv30,attrDamageLv50,apDamageLv50,deltaLv50,attrDamageLv99,apDamageLv99,deltaLv99
godie-e00s.q,70-01 伸卡球,godie-e00s,generator,tools/skill-remake/heroes/godie-e00s.py,str,3.0,damage,75.0,80,0.8,True,False,False,51.0,135.3,84.3,51.0,173.5,122.5,51.0,266.9,215.9
godie-e00w.passive,77-00 浮雲-旋一閃,godie-e00w,generator,tools/skill-remake/heroes/godie-e00w.py,agi,5.0,damage,125.0,130,1.3,False,False,True,120.0,154.3,34.3,120.0,203.3,83.3,120.0,323.4,203.4
godie-e00x.e,77-03 GLADIARIA ALAT,godie-e00x,json,,agi,1.0,damage,25.0,30,0.3,True,False,False,24.0,27.9,3.9,24.0,33.9,9.9,24.0,48.6,24.6
godie-e010.q,70-01 伸卡球,godie-e010,json,,str,3.0,damage,75.0,80,0.8,False,False,True,51.0,103.2,52.2,51.0,119.2,68.2,51.0,158.4,107.4
godie-etyr.e,14-02 式神炸裂,godie-etyr,json,,int,3.0,damage,75.0,80,0.8,False,True,False,90.0,146.6,56.6,90.0,181.5,91.5,90.0,266.9,176.9
godie-etyr.q,14-01 東風繪扇、南風末廣,godie-etyr,json,,int,2.0,heal,50.0,50,0.5,False,False,True,60.0,91.6,31.6,60.0,113.4,53.4,60.0,166.8,106.8
godie-h01o.q,79-01 瞬步,godie-h01o,json,,str,2.0,damage,50.0,50,0.5,False,False,True,48.0,40.5,-7.5,48.0,50.5,2.5,48.0,75.0,27.0
godie-h01o.w,79-02 斬擊,godie-h01o,json,,str,2.0,damage,50.0,50,0.5,False,True,False,48.0,40.5,-7.5,48.0,50.5,2.5,48.0,75.0,27.0
godie-h020.e,04-03 龍破斬,godie-h020,json,,int,7.0,damage,175.0,180,1.8,False,True,False,889.0,966.6,77.6,889.0,1002.6,113.6,889.0,1090.8,201.8
godie-h020.ex,04-002 惡夢魔王的碎片,godie-h020,json,,int,7.0,damage,175.0,180,1.8,False,False,True,889.0,966.6,77.6,889.0,1002.6,113.6,889.0,1090.8,201.8
godie-h020.r,04-04 神滅斬,godie-h020,json,,int,5.0,damage,125.0,130,1.3,False,True,False,635.0,698.1,63.1,635.0,724.1,89.1,635.0,787.8,152.8
godie-h020.r,04-04 神滅斬,godie-h020,json,,int,7.0,damage,175.0,180,1.8,False,True,False,889.0,966.6,77.6,889.0,1002.6,113.6,889.0,1090.8,201.8
godie-hart.r,01-04 超究武神霸斬,godie-hart,json,,str,1.0,damage,25.0,30,0.3,False,False,False,24.0,33.1,9.1,24.0,45.1,21.1,24.0,74.6,50.6
godie-hjai.e,04-03 龍破斬,godie-hjai,json,,int,7.0,damage,175.0,180,1.8,False,True,False,189.0,314.6,125.6,189.0,397.5,208.5,189.0,600.5,411.5
godie-hjai.ex,04-002 惡夢魔王的碎片,godie-hjai,json,,int,7.0,damage,175.0,180,1.8,False,False,True,189.0,314.6,125.6,189.0,397.5,208.5,189.0,600.5,411.5
