championId,verdict,refImage,bands,rawRuns,maxPairwiseDeltaE,foregroundRatio,bboxHeightRatio,framesDropped,hash,duplicateOf,bandHexes,reasons
godie-e001,PASS,godie-e001.png,11,22,81.21,0.9797,1.0000,0,10003f5fd23d1778,,hair=#24291f hatBand=#c0ccc9 hatBrim=#121f19 face=#b08252 collar=#000000 chestTrim=#c7c2a7 top=#000000 waist=#8b5f3d pants=#000000 shin=#646367 shoe=#131501,sleeve 與 faceColors 無法從中軸條碼推得：草稿為 long + 最暗帶，需人工確認 ｜ 反鋸齒/漸層：3815 種像素顏色收斂成 11 條帶，3804 種中間色被眾數 + ΔE<12 併段吸收（自動修）
godie-e002,PASS,godie-e002.png,11,29,99.92,0.9883,1.0000,0,dc2bc9fe08aabf19,,hair=#202914 hatBand=#ffffff hatBrim=#fcfff5 face=#753564 collar=#f6fffb chestTrim=#723765 top=#00d0ff waist=#000005 pants=#ffffff shin=#0176fa shoe=#6b6668,sleeve 與 faceColors 無法從中軸條碼推得：草稿為 long + 最暗帶，需人工確認 ｜ 反鋸齒/漸層：3799 種像素顏色收斂成 11 條帶，3788 種中間色被眾數 + ΔE<12 併段吸收（自動修）
godie-e007,PASS,godie-e007.png,11,29,91.71,0.9736,1.0000,0,5333a7cf4c60eb88,,hair=#342a1a hatBand=#d8d7dd hatBrim=#5c3b32 face=#242a22 collar=#fff5f8 chestTrim=#b3b0b5 top=#fffcf8 waist=#96969b pants=#312424 shin=#6f6d6f shoe=#11190e,sleeve 與 faceColors 無法從中軸條碼推得：草稿為 long + 最暗帶，需人工確認 ｜ 反鋸齒/漸層：3820 種像素顏色收斂成 11 條帶，3809 種中間色被眾數 + ΔE<12 併段吸收（自動修）
godie-e008,PASS,godie-e008.png,11,36,100.47,0.9856,1.0000,0,c367a7a93a70e25e,,hair=#20241c hatBand=#e0d5db hatBrim=#130801 face=#ed3439 collar=#3a000e chestTrim=#f33231 top=#150109 waist=#9f0000 pants=#14271a shin=#c40000 shoe=#fd9fa3,sleeve 與 faceColors 無法從中軸條碼推得：草稿為 long + 最暗帶，需人工確認 ｜ 反鋸齒/漸層：3711 種像素顏色收斂成 11 條帶，3700 種中間色被眾數 + ΔE<12 併段吸收（自動修）
godie-e00j,PASS,godie-e00j.png,11,17,85.13,0.9749,1.0000,0,ce6761f9fa1d750e,,hair=#2c3025 hatBand=#c2cdc7 hatBrim=#574d42 face=#000000 collar=#800000 chestTrim=#974949 top=#c1c1c1 waist=#c1c1c1 pants=#000000 shin=#68635e shoe=#12000f,sleeve 與 faceColors 無法從中軸條碼推得：草稿為 long + 最暗帶，需人工確認 ｜ 反鋸齒/漸層：2042 種像素顏色收斂成 11 條帶，2031 種中間色被眾數 + ΔE<12 併段吸收（自動修）
godie-e00k,PASS,godie-e00k.png,11,36,100.88,0.9768,1.0000,0,4d3db2f76a6952d0,,hair=#202916 hatBand=#c3c4c3 hatBrim=#1c0000 face=#f6d294 collar=#210000 chestTrim=#fdf1d4 top=#000000 waist=#ffffff pants=#040d00 shin=#f2d6b2 shoe=#000021,sleeve 與 faceColors 無法從中軸條碼推得：草稿為 long + 最暗帶，需人工確認 ｜ 反鋸齒/漸層：3881 種像素顏色收斂成 11 條帶，3870 種中間色被眾數 + ΔE<12 併段吸收（自動修）
godie-e00l,DUPLICATE,godie-e00l.png,11,29,99.92,0.9883,1.0000,0,dc2bc9fe08aabf19,godie-e002,hair=#202914 hatBand=#ffffff hatBrim=#fcfff5 face=#753564 collar=#f6fffb chestTrim=#723765 top=#00d0ff waist=#000005 pants=#ffffff shin=#0176fa shoe=#6b6668,sleeve 與 faceColors 無法從中軸條碼推得：草稿為 long + 最暗帶，需人工確認 ｜ 反鋸齒/漸層：3799 種像素顏色收斂成 11 條帶，3788 種中間色被眾數 + ΔE<12 併段吸收（自動修） ｜ 條碼 hash dc2bc9fe08aabf19 與 godie-e002 相同 —— 圖示重複，強制人工
godie-e00n,DUPLICATE,godie-e00n.png,11,22,81.21,0.9797,1.0000,0,10003f5fd23d1778,godie-e001,hair=#24291f hatBand=#c0ccc9 hatBrim=#121f19 face=#b08252 collar=#000000 chestTrim=#c7c2a7 top=#000000 waist=#8b5f3d pants=#000000 shin=#646367 shoe=#131501,sleeve 與 faceColors 無法從中軸條碼推得：草稿為 long + 最暗帶，需人工確認 ｜ 反鋸齒/漸層：3815 種像素顏色收斂成 11 條帶，3804 種中間色被眾數 + ΔE<12 併段吸收（自動修） ｜ 條碼 hash 10003f5fd23d1778 與 godie-e001 相同 —— 圖示重複，強制人工
godie-e00q,DUPLICATE,godie-e00q.png,11,29,99.92,0.9883,1.0000,0,dc2bc9fe08aabf19,godie-e002,hair=#202914 hatBand=#ffffff hatBrim=#fcfff5 face=#753564 collar=#f6fffb chestTrim=#723765 top=#00d0ff waist=#000005 pants=#ffffff shin=#0176fa shoe=#6b6668,sleeve 與 faceColors 無法從中軸條碼推得：草稿為 long + 最暗帶，需人工確認 ｜ 反鋸齒/漸層：3799 種像素顏色收斂成 11 條帶，3788 種中間色被眾數 + ΔE<12 併段吸收（自動修） ｜ 條碼 hash dc2bc9fe08aabf19 與 godie-e002 相同 —— 圖示重複，強制人工
godie-e00r,PASS,godie-e00r.png,11,37,93.73,0.9768,1.0000,0,16ad898fa46253b8,,hair=#33291d hatBand=#d5d8d6 hatBrim=#4e4e47 face=#34197d collar=#24322a chestTrim=#3e4eac top=#23341f waist=#944d35 pants=#3342a3 shin=#965835 shoe=#242f2f,sleeve 與 faceColors 無法從中軸條碼推得：草稿為 long + 最暗帶，需人工確認 ｜ 反鋸齒/漸層：3775 種像素顏色收斂成 11 條帶，3764 種中間色被眾數 + ΔE<12 併段吸收（自動修）
