num-unbound	godie-e001.ex	22-002 月光下的決鬥者	0秒冷卻時間	JSON 這一軸是 60 —— 卡面這個數字對不上，⛔ 不換佔位符（換了等於無聲改掉玩家看到的字）
num-unbound	godie-e001.ex	22-002 月光下的決鬥者	造成0.3秒暈眩158點	JSON 這一軸是 （效果樹上一發傷害都沒有） —— 卡面這個數字對不上，⛔ 不換佔位符（換了等於無聲改掉玩家看到的字）
num-unbound	godie-e001.ex	22-002 月光下的決鬥者	造成0.3秒暈眩158點傷害	JSON 這一軸是 （效果樹上一發傷害都沒有） —— 卡面這個數字對不上，⛔ 不換佔位符（換了等於無聲改掉玩家看到的字）
num-unbound	godie-e001.ex	22-002 月光下的決鬥者	158點傷害	JSON 這一軸是 （效果樹上一發傷害都沒有） —— 卡面這個數字對不上，⛔ 不換佔位符（換了等於無聲改掉玩家看到的字）
num-unbound	godie-e001.q	22-01 鬼隱之擊	造成額外100點	JSON 這一軸是 （效果樹上一發傷害都沒有） —— 卡面這個數字對不上，⛔ 不換佔位符（換了等於無聲改掉玩家看到的字）
num-unbound	godie-e008.ex	21-002 天破壤碎	造成550傷害	JSON 這一軸是 （效果樹上一發傷害都沒有） —— 卡面這個數字對不上，⛔ 不換佔位符（換了等於無聲改掉玩家看到的字）
num-unbound	godie-e008.q	21-02 拔焰刀	造成普攻附加額外75點	JSON 這一軸是 300/400/500 —— 卡面這個數字對不上，⛔ 不換佔位符（換了等於無聲改掉玩家看到的字）
geo-no-engine-value	godie-e008.r	21-04 討滅封絕	範圍1800	文案寫了有效半徑，但引擎這一軸是空的 —— ⛔ 不換佔位符（換了只會讓一句做不到的宣稱更像真的，第一·五守則）
num-unbound	godie-e00l.e	20-03 約束與勝利之劍	350點傷害	JSON 這一軸是 250/400/550/700 —— 卡面這個數字對不上，⛔ 不換佔位符（換了等於無聲改掉玩家看到的字）
num-unbound	godie-e00l.ex	20-002 解放.約束勝利劍MAX	0秒冷卻時間	JSON 這一軸是 60 —— 卡面這個數字對不上，⛔ 不換佔位符（換了等於無聲改掉玩家看到的字）
num-unbound	godie-e00l.ex	20-002 解放.約束勝利劍MAX	造成1800傷害	JSON 這一軸是 （效果樹上一發傷害都沒有） —— 卡面這個數字對不上，⛔ 不換佔位符（換了等於無聲改掉玩家看到的字）
num-unbound	godie-e00n.ex	22-002 月光下的決鬥者	0秒冷卻時間	JSON 這一軸是 60 —— 卡面這個數字對不上，⛔ 不換佔位符（換了等於無聲改掉玩家看到的字）
num-unbound	godie-e00n.ex	22-002 月光下的決鬥者	造成0.3秒暈眩158點	JSON 這一軸是 （效果樹上一發傷害都沒有） —— 卡面這個數字對不上，⛔ 不換佔位符（換了等於無聲改掉玩家看到的字）
num-unbound	godie-e00n.ex	22-002 月光下的決鬥者	造成0.3秒暈眩158點傷害	JSON 這一軸是 （效果樹上一發傷害都沒有） —— 卡面這個數字對不上，⛔ 不換佔位符（換了等於無聲改掉玩家看到的字）
num-unbound	godie-e00n.ex	22-002 月光下的決鬥者	158點傷害	JSON 這一軸是 （效果樹上一發傷害都沒有） —— 卡面這個數字對不上，⛔ 不換佔位符（換了等於無聲改掉玩家看到的字）
num-unbound	godie-e00n.q	22-01 鬼隱之擊	造成額外100點	JSON 這一軸是 （效果樹上一發傷害都沒有） —— 卡面這個數字對不上，⛔ 不換佔位符（換了等於無聲改掉玩家看到的字）
