branch	tip_sha	ahead_of_origin_main	reason
worktree-wf_02d2dfc4-e6d-1	8a738d599c1889e5505db87478338f7a0de74d75	0	0-ahead
worktree-wf_12e1ba4b-16e-1	193bcf86943d24d34aa63d7689cb69750f48a284	0	0-ahead
worktree-wf_1c1c7457-5d0-3	193bcf86943d24d34aa63d7689cb69750f48a284	0	0-ahead
worktree-wf_1f72ad0e-1c3-2	2ba12b912ed85c0ed13b694bd22cb504c7686eab	0	0-ahead
worktree-wf_1f72ad0e-1c3-3	7a91d60a988ce5e12f01ba08d14fd780b143fe90	1	patch-equivalent
worktree-wf_1f72ad0e-1c3-4	8b7ac41fabd8b86dda5398ccff87df4e56fce567	0	0-ahead
worktree-wf_1f72ad0e-1c3-5	e6cc2feb35d29f904f6f6fa420b5520d4e481e97	1	patch-equivalent
worktree-wf_334432e9-546-3	8a738d599c1889e5505db87478338f7a0de74d75	0	0-ahead
worktree-wf_334432e9-546-4	8a738d599c1889e5505db87478338f7a0de74d75	0	0-ahead
worktree-wf_5e0a2a7b-5a8-1	87b36861b1fae1adb67eec2c7d32854792b34b78	0	0-ahead
worktree-wf_5e0a2a7b-5a8-2	da7a6807cef04147c1e53a239dec2ea86d842839	0	0-ahead
worktree-wf_5e0a2a7b-5a8-3	cadbb45c2ed8975c8951af7cf470054e527a03cf	0	0-ahead
worktree-wf_5e0a2a7b-5a8-5	ddbd651991efc1acb59722d8f5d070df40808e76	0	0-ahead
worktree-wf_5e0a2a7b-5a8-6	df1c96f3009c8ec79998738f432235a5aa0b0453	0	0-ahead
worktree-wf_5ee25ad9-968-1	8a738d599c1889e5505db87478338f7a0de74d75	0	0-ahead
worktree-wf_5ee25ad9-968-2	8a738d599c1889e5505db87478338f7a0de74d75	0	0-ahead
worktree-wf_5ee25ad9-968-3	8a738d599c1889e5505db87478338f7a0de74d75	0	0-ahead
worktree-wf_5ee25ad9-968-4	8a738d599c1889e5505db87478338f7a0de74d75	0	0-ahead
worktree-wf_648b20db-433-1	7b99bdacc7311fe541784cc9190e854357171db5	1	patch-equivalent
worktree-wf_648b20db-433-2	e00dcd072480a65234106602588fe72343dfce5e	0	0-ahead
worktree-wf_648b20db-433-3	f653924ea03a313003b435605b384dc0294a38d0	0	0-ahead
worktree-wf_648b20db-433-4	f4f9bda2b378d68bec19a376391fdfbc43fd452d	0	0-ahead
worktree-wf_648b20db-433-5	01af49f13d438f5a62bd5918d19c66b53015297c	0	0-ahead
worktree-wf_75f7dbd0-63c-1	833c9302d5cf0420b546de9fc89e8e9c120e390f	0	0-ahead
worktree-wf_75f7dbd0-63c-3	7d27ab59ce30c9f83ba06a07a96453fef902f028	0	0-ahead
worktree-wf_75f7dbd0-63c-6	fd334b65bf4e34613667d7b9a6ae48a03df9062a	0	0-ahead
worktree-wf_76b5e9f9-b99-1	503379cae1696b78c8a966de049a0617edf2dd21	0	0-ahead
worktree-wf_76b5e9f9-b99-4	86ef8cffa232f2702f2b9a82cfc12f0f4dba07bd	0	0-ahead
worktree-wf_76b5e9f9-b99-5	fa21efe388cebc9ab95e9f0aaf53403bd265ef7c	1	patch-equivalent
worktree-wf_76b5e9f9-b99-6	946ab3d43f5baea4b9230831c7d02f0f15fe84d0	0	0-ahead
worktree-wf_76b5e9f9-b99-7	67244347f6bb98278bd8edc0619f6d91b7f87b6d	0	0-ahead
worktree-wf_7d528f9e-e28-1	771c4fee0f0d080e0d475c100b178ad56482e140	0	0-ahead
worktree-wf_7d528f9e-e28-2	b3dc69067de9ba49bd4abfe839639044bc6d821a	0	0-ahead
worktree-wf_7d528f9e-e28-3	49c106a9cdbd6a71b7158cffb5ba92f7a37420b6	0	0-ahead
worktree-wf_7d528f9e-e28-5	e2a04dd3f4c1347917e4b2a518a52e3d436200b9	1	patch-equivalent
worktree-wf_92cc9d30-888-1	193bcf86943d24d34aa63d7689cb69750f48a284	0	0-ahead
worktree-wf_92cc9d30-888-5	a2835a9883aa8ee2c1007a78f8422a532177399d	0	0-ahead
worktree-wf_97bbdb13-479-1	be78c1b94d8d2d38691a7e0fdcf331f98855761c	0	0-ahead
worktree-wf_97bbdb13-479-2	b37167354db66390f63349ddbc6a759cc2e56c3b	0	0-ahead
worktree-wf_97bbdb13-479-3	ade4d0e9e6eb8e0cef616654334bf530847bad13	0	0-ahead
worktree-wf_97bbdb13-479-4	0263a6da4ab3d63a200b898aa42060767b77a25a	0	0-ahead
worktree-wf_97bbdb13-479-5	c60b3b36e68f27d36dbf26498cf6b9626e386800	0	0-ahead
worktree-wf_97bbdb13-479-6	3ee403285971a1468fbf4552a28948e384a31c98	0	0-ahead
worktree-wf_a0c1e537-f66-1	56d1014210b8f18f65b078b018d03ee3536813f1	0	0-ahead
worktree-wf_a0c1e537-f66-2	9263a06dd87546817cb7ada358f69bd8ef695940	0	0-ahead
worktree-wf_a0c1e537-f66-3	7c6b1953ae90b0607fd5d21c20378f47668b0337	0	0-ahead
worktree-wf_a0c1e537-f66-4	57018d9d5a0698625dd04989c86225cd5e2af1bc	0	0-ahead
worktree-wf_a0c1e537-f66-5	ba901532a918efdd593810aa2f319391df0e4925	0	0-ahead
worktree-wf_b171792a-d0c-2	8a738d599c1889e5505db87478338f7a0de74d75	0	0-ahead
worktree-wf_b171792a-d0c-3	8a738d599c1889e5505db87478338f7a0de74d75	0	0-ahead
worktree-wf_b171792a-d0c-4	8a738d599c1889e5505db87478338f7a0de74d75	0	0-ahead
worktree-wf_b171792a-d0c-5	8a738d599c1889e5505db87478338f7a0de74d75	0	0-ahead
worktree-wf_b3df1f63-dcf-2	90eca5e68e59e81787c1531823ed66ff80dc1c54	0	0-ahead
worktree-wf_b3df1f63-dcf-3	a76747ef54edd1970942c1baadd1e87a36d52675	0	0-ahead
worktree-wf_c1c3ad81-483-1	8a738d599c1889e5505db87478338f7a0de74d75	0	0-ahead
worktree-wf_c1c3ad81-483-3	8a738d599c1889e5505db87478338f7a0de74d75	0	0-ahead
worktree-wf_c1c3ad81-483-4	8a738d599c1889e5505db87478338f7a0de74d75	0	0-ahead
worktree-wf_d6c1056a-bf8-1	a9052aac02206d414abb147c157b62de8b444fe2	1	patch-equivalent
worktree-wf_d6c1056a-bf8-2	caec1ea2f8ae98c919be18513cdf43260430d3e0	0	0-ahead
worktree-wf_d6c1056a-bf8-5	0196ac8d027752e524d94d6e07c2b18d8ab19646	1	patch-equivalent
worktree-wf_da0bc527-d66-2	193bcf86943d24d34aa63d7689cb69750f48a284	0	0-ahead
worktree-wf_da0bc527-d66-3	193bcf86943d24d34aa63d7689cb69750f48a284	0	0-ahead
worktree-wf_da0bc527-d66-4	193bcf86943d24d34aa63d7689cb69750f48a284	0	0-ahead
worktree-wf_dbfffabe-0ec-1	f8f7ba5e8ad237423a37406af4e32e21c11f57a8	0	0-ahead
worktree-wf_dbfffabe-0ec-2	67fb775a91c8938f5086839481e6bc9b4651861b	0	0-ahead
worktree-wf_dbfffabe-0ec-3	d4f6310128ec443a7d2d24b02d49cd994175eeac	0	0-ahead
worktree-wf_dbfffabe-0ec-4	a070423f74a1d4fa727bbc0d986a5d95fe39c876	1	patch-equivalent
worktree-wf_dbfffabe-0ec-5	3f9d7e3488c0b304ba8b48b3c29fab3fa158ebab	0	0-ahead
worktree-wf_f1cbeace-e91-1	8a738d599c1889e5505db87478338f7a0de74d75	0	0-ahead
worktree-wf_f1cbeace-e91-2	8a738d599c1889e5505db87478338f7a0de74d75	0	0-ahead
worktree-wf_f1cbeace-e91-3	8a738d599c1889e5505db87478338f7a0de74d75	0	0-ahead
worktree-wf_f1cbeace-e91-5	8a738d599c1889e5505db87478338f7a0de74d75	0	0-ahead
worktree-wf_fccc16ff-f23-1	8ab33387e952199b5c253af03753e401e2db1f5b	1	patch-equivalent
worktree-wf_fccc16ff-f23-2	f5b125e1b31346dafdfecea005d03e619008a434	1	patch-equivalent
worktree-wf_fccc16ff-f23-3	46107283c51749c5c121a6e7b93d3052c5d1b7ae	1	patch-equivalent
worktree-wf_fccc16ff-f23-4	aba42af36c6085592ad1432abaf53cbbd439352d	1	superseded-by-content
worktree-wf_fccc16ff-f23-6	20a0d1e6b1cad58725a07eb50a8de920225d1517	1	patch-equivalent
