# owner 2026-08-21 ①②③④⑦「B 全轉」**之前**的原始數值 —— ⛔ 不是說明文件，是**退路**。
# 級距是一支技能一格 ⇒ 傷害的 perRank 與耗魔的逐階陣列在轉換時交出去了。
# 這一份留著那一半，理由與 docs/legacy/_w3x-fidelity-superseded.md 逐字相同：
# **測試可以跟著設計走，知識不可以無聲消失。**
# before = git HEAD（49caceb8）· after = 這一批落地之後。
id	name	cd_before	cd_after	cooldownTier	mp_before	mp_after	damage_before	damage_after	range_before	range_after	rangeTier
godie-e001.e	22-03 五吋釘	[25.0, 25.0, 25.0, 25.0]	[15.0, 15.0, 15.0, 15.0]	小	[100.0, 140.0, 180.0, 220.0]	[100.0, 100.0, 100.0, 100.0]	[{"perRank": [350.0, 500.0, 650.0, 800.0]}]	[{"damageTier": "極小", "flat": 600.0}]	8	8	大
godie-e001.ex	22-002 月光下的決鬥者	[60.0]	[60.0]	極大	[120.0]	[0.0]	[]	[]	0	0	
godie-e001.passive	22-00 嗚鎖打!	[40.0]	[30.0]	極小	[150.0]	[150.0]	[{"perRank": [150.0]}]	[{"damageTier": "極小", "flat": 600.0}]	0	0	
godie-e001.q	22-01 鬼隱之擊	[30.0, 30.0, 30.0, 75.0, 75.0]	[60.0, 60.0, 60.0, 60.0, 60.0]	極大	[60.0, 110.0, 160.0, 255.0, 255.0]	[0.0, 0.0, 0.0, 0.0, 0.0]	[]	[]	0	0	
godie-e001.r	22-04 雛見澤症候群L5	[60.0, 60.0, 60.0]	[60.0, 60.0, 60.0]	中	[70.0, 140.0, 210.0]	[0.0, 0.0, 0.0]	[]	[]	0	0	
godie-e002.e	20-03 約束與勝利之劍	[60.0, 60.0, 60.0, 60.0]	[60.0, 60.0, 60.0, 60.0]	極大	[250.0, 350.0, 450.0, 550.0]	[250.0, 250.0, 250.0, 250.0]	[{"perRank": [350.0, 550.0, 750.0, 950.0]}]	[{"damageTier": "極小", "flat": 600.0}]	14.0	12.0	極大
godie-e002.r	20-04 Avalon-永恆的理想鄉	[60.0, 60.0, 60.0]	[60.0, 60.0, 60.0]	極大	[150.0, 250.0, 350.0]	[150.0, 150.0, 150.0]	[{"flat": 0.0}]	[{"flat": 0.0}]	0.0	0.0	
godie-e002.w	20-01 風王結界	[60.0, 60.0, 60.0, 60.0]	[60.0, 60.0, 60.0, 60.0]	中	[50.0, 100.0, 150.0, 200.0]	[0.0, 0.0, 0.0, 0.0]	[]	[]	0.0	0.0	
godie-e007.e	12-03 破凰之心-徒手空破山	[45.0, 45.0, 45.0, 45.0]	[45.0, 45.0, 45.0, 45.0]	大	[60.0, 225.0, 300.0, 375.0]	[73.0, 73.0, 73.0, 73.0]	[{"perRank": [80, 120, 160, 200]}]	[{"damageTier": "極小", "flat": 600.0}]	12	12	極大
godie-e007.ex	12-002 仙氣發勁	[30.0]	[30.0]	中	[360.0]	[360.0]	[{"flat": 300}]	[{"damageTier": "極小", "flat": 600.0}]	2.0	2.0	
godie-e007.q	12-01 鬥仙術	[12.0, 12.0, 12.0, 12.0, 12.0]	[6.0, 6.0, 6.0, 6.0, 6.0]	極小	[30.0, 50.0, 70.0, 90.0, 90.0]	[73.0, 73.0, 73.0, 73.0, 73.0]	[{"perRank": [150.0, 250.0, 350.0, 350.0, 350.0]}]	[{"damageTier": "極小", "flat": 600.0}]	4.5	4.5	小
godie-e007.r	12-04 龍氣爆發	[60.0, 60.0, 60.0]	[60.0, 60.0, 60.0]	極大	[215.0, 280.0, 345.0]	[215.0, 215.0, 215.0]	[{"perRank": [650.0, 950.0, 1250.0]}]	[{"damageTier": "小", "flat": 1500.0}]	12	12	極大
godie-e007.w	12-02 仙氣．採藥	[60.0, 60.0, 60.0, 60.0]	[60.0, 60.0, 60.0, 60.0]	極大	[50.0, 100.0, 150.0, 200.0]	[0.0, 0.0, 0.0, 0.0]	[]	[]	12	12	極大
