id,name_original,name_key,model_path,category,source,classification_source,canonical_character,origin_work,origin_type,origin_status,origin_note,related_origin_work,origin_sources,origin_local_evidence
13,天道佩恩,Name_Pain,../DATA/CHARACTER/ROLEACTION/013.x,formal,official_client_hero_c.dat,300data.com,天道佩恩（彌彥外貌；長門操縱）,火影忍者 NARUTO,漫畫／動畫,角色身分對照,,,https://300data.com/hero/13.html; https://300data.com/data/api/hero_info/id/13,evidence/hero-backgrounds/13.json
17,平和岛静雄,Name_CattleKing,../DATA/CHARACTER/ROLEACTION/017.x,formal,official_client_hero_c.dat,300data.com,平和岛静雄,無頭騎士異聞錄 DuRaRaRa!!,小說／動畫,角色身分對照,,,https://300data.com/hero/17.html; https://300data.com/data/api/hero_info/id/17,evidence/hero-backgrounds/17.json
18,唐僧,Name_ProtectLing,../DATA/CHARACTER/ROLEACTION/018.x,extra,official_client_hero_c.dat,300data.com,唐三藏／唐僧,西遊記,文學／民間故事題材,題材確認；具體改編版本未定,特殊／非正式條目；只能確認西遊記人物，未指定某部動畫版本。,,https://300data.com/hero/18.html; https://300data.com/data/api/hero_info/id/18,evidence/hero-backgrounds/18.json
20,阿尔冯斯,Name_RockColossus,../DATA/CHARACTER/ROLEACTION/020.x,formal,official_client_hero_c.dat,300data.com,阿爾馮斯·艾力克,鋼之鍊金術師,漫畫／動畫,角色身分對照,,,https://300data.com/hero/20.html; https://300data.com/data/api/hero_info/id/20,evidence/hero-backgrounds/20.json
23,齐天小剩,Name_Monkey,../DATA/CHARACTER/ROLEACTION/023.x,formal,official_client_hero_c.dat,300data.com,齐天小剩,300英雄：西遊記題材改編,遊戲改編角色,題材確認；具體改編版本未定,背景、筋斗雲與金箍棒可確認西遊記題材；成就名「悠嘻猴」不足以確認來自同名 IP。保留本作改編角色身分。,,https://300data.com/hero/23.html; https://300data.com/data/api/hero_info/id/23; https://news.4399.com/300/yingxiong/844225.html; https://img.300data.com/300data/res/ui/hero/23.bmp,evidence/hero-backgrounds/23.json
29,沙耶,Name_ShaYe,../DATA/CHARACTER/ROLEACTION/029.x,formal,official_client_hero_c.dat,300data.com,沙耶,沙耶之歌,遊戲,角色身分對照,,,https://300data.com/hero/29.html; https://300data.com/data/api/hero_info/id/29,evidence/hero-backgrounds/29.json
30,哈桑,Name_Assassin,../DATA/CHARACTER/ROLEACTION/030.x,formal,official_client_hero_c.dat,300data.com,咒腕之哈桑,Fate/stay night,遊戲／動漫,角色身分對照,成就明寫「咒腕之哈桑」，不是 Fate/Zero 的百貌之哈桑。,,https://300data.com/hero/30.html; https://300data.com/data/api/hero_info/id/30,evidence/hero-backgrounds/30.json
31,天天,Name_jifengzhiren,../DATA/CHARACTER/ROLEACTION/031.x,formal,official_client_hero_c.dat,300data.com,天天,火影忍者 NARUTO,漫畫／動畫,角色身分對照,,,https://300data.com/hero/31.html; https://300data.com/data/api/hero_info/id/31,evidence/hero-backgrounds/31.json
32,本多二代,Name_benduoerdai,../DATA/CHARACTER/ROLEACTION/032.x,formal,official_client_hero_c.dat,300data.com,本多二代,境界線上的地平線,小說／動畫,角色身分對照,,,https://300data.com/hero/32.html; https://300data.com/data/api/hero_info/id/32,evidence/hero-backgrounds/32.json
33,凸守早苗,Name_tushouzaomiao,../DATA/CHARACTER/ROLEACTION/033.x,formal,official_client_hero_c.dat,300data.com,凸守早苗,中二病也想談戀愛！,小說／動畫,角色身分對照,,,https://300data.com/hero/33.html; https://300data.com/data/api/hero_info/id/33,evidence/hero-backgrounds/33.json
34,雪菜,Name_jizhongxuecai,../DATA/CHARACTER/ROLEACTION/034.x,formal,official_client_hero_c.dat,300data.com,姬柊雪菜,噬血狂襲,小說／動畫,角色身分對照,,,https://300data.com/hero/34.html; https://300data.com/data/api/hero_info/id/34,evidence/hero-backgrounds/34.json
