ID,角色,作品來源,本體模型,基礎模型存在,模型檔數,OBJ數,動作片段,音效語音段數
13,天道佩恩,火影忍者 NARUTO,../DATA/CHARACTER/ROLEACTION/013.x,True,6,6,154,229
17,平和岛静雄,無頭騎士異聞錄 DuRaRaRa!!,../DATA/CHARACTER/ROLEACTION/017.x,True,5,5,80,132
18,唐僧,西遊記,../DATA/CHARACTER/ROLEACTION/018.x,True,1,1,19,19
20,阿尔冯斯,鋼之鍊金術師,../DATA/CHARACTER/ROLEACTION/020.x,True,7,5,93,105
23,齐天小剩,300英雄：西遊記題材改編,../DATA/CHARACTER/ROLEACTION/023.x,True,3,3,57,69
29,沙耶,沙耶之歌,../DATA/CHARACTER/ROLEACTION/029.x,True,7,7,92,194
30,哈桑,Fate/stay night,../DATA/CHARACTER/ROLEACTION/030.x,True,7,7,115,228
31,天天,火影忍者 NARUTO,../DATA/CHARACTER/ROLEACTION/031.x,True,6,6,94,144
32,本多二代,境界線上的地平線,../DATA/CHARACTER/ROLEACTION/032.x,True,10,9,164,217
33,凸守早苗,中二病也想談戀愛！,../DATA/CHARACTER/ROLEACTION/033.x,True,8,8,137,236
34,雪菜,噬血狂襲,../DATA/CHARACTER/ROLEACTION/034.x,True,17,17,242,429
35,圣大人,犬夜叉,../DATA/CHARACTER/ROLEACTION/035.x,True,12,12,200,341
36,富樫勇太,中二病也想談戀愛！,../DATA/CHARACTER/ROLEACTION/036.x,True,3,3,46,64
37,司波深雪,魔法科高中的劣等生,../DATA/CHARACTER/ROLEACTION/037.x,True,9,9,159,229
38,风音日和,天降之物,../DATA/CHARACTER/ROLEACTION/038.x,True,8,8,170,290
39,土间埋,干物妹！小埋,../DATA/CHARACTER/ROLEACTION/039.x,True,12,10,166,291
40,战场原黑仪,物語系列,../DATA/CHARACTER/ROLEACTION/040.x,True,10,10,189,289
41,赫拉克勒斯,Fate/stay night,../DATA/CHARACTER/ROLEACTION/041.x,True,12,12,165,369
42,缇娜,黑色子彈／漆黑的子彈,../DATA/CHARACTER/ROLEACTION/042.x,True,14,14,265,394
43,弗兰肯斯坦,Fate/Apocrypha,../DATA/CHARACTER/ROLEACTION/043.x,True,8,8,103,152
44,跳跃临时工,300英雄原創,../DATA/CHARACTER/ROLEACTION/128.x,True,0,0,0,16
45,浅间·智,境界線上的地平線,../DATA/CHARACTER/ROLEACTION/045.x,True,9,8,123,140
46,莉娜·因巴斯,秀逗魔導士 Slayers,../DATA/CHARACTER/ROLEACTION/046.x,True,9,9,157,232
47,七宫智音,中二病也想談戀愛！,../DATA/CHARACTER/ROLEACTION/047.x,True,7,7,114,196
48,草帽小子,ONE PIECE 航海王,../DATA/CHARACTER/ROLEACTION/074.x,True,0,0,0,348
50,黑羽快斗,神偷怪盜／魔術快斗；名偵探柯南,../DATA/CHARACTER/ROLEACTION/050.x,True,9,9,158,278
51,匹诺曹,ONE PIECE 航海王,../DATA/CHARACTER/ROLEACTION/051.x,True,4,4,50,96
52,我受罗,火影忍者 NARUTO,../DATA/CHARACTER/ROLEACTION/052.x,True,6,6,98,124
53,亚瑟王,Fate/stay night,../DATA/CHARACTER/ROLEACTION/053.x,True,38,38,417,584
54,神乐,銀魂,../DATA/CHARACTER/ROLEACTION/054.x,True,8,8,115,270
55,雅典娜,聖鬥士星矢,../DATA/CHARACTER/ROLEACTION/055.x,True,5,5,78,170
56,巴依老爷,阿凡提故事題材（300英雄改編）,../DATA/CHARACTER/ROLEACTION/056.x,True,10,10,133,252
