角色／形態定義,原始名稱,原生模型,GLB,動畫片段,關節數
CharacterDefinitions/Chara01.chr,高町なのは,Model/Chara01/Nanoha.x,models/Model/Chara01/Nanoha.glb,87,40
CharacterDefinitions/Chara01_O.chr,ルル・ジェラード,Model/Chara01_O/Ruru.x,models/Model/Chara01_O/Ruru.glb,81,26
CharacterDefinitions/Chara02.chr,リナ＝インバース,Model/Chara02/Lina.x,models/Model/Chara02/Lina.glb,78,31
CharacterDefinitions/Chara02_O.chr,ノウェル・ディアスタシス,Model/Chara02_O/Nowel.x,models/Model/Chara02_O/Nowel.glb,77,34
CharacterDefinitions/Chara03.chr,木之本さくら,Model/Chara03/Sakura.x,models/Model/Chara03/Sakura.glb,83,48
CharacterDefinitions/Chara04_01.chr,フェイト・テスタロッサ,Model/Chara04/Fate.x,models/Model/Chara04/Fate.glb,74,33
CharacterDefinitions/Chara04_02.chr,フェイト・テスタロッサ,Model/Chara04/FateSonic.x,models/Model/Chara04/FateSonic.glb,74,25
CharacterDefinitions/Chara05.chr,星空きらら,Model/Chara05/Kirara.x,models/Model/Chara05/Kirara.glb,81,38
CharacterDefinitions/Chara06.chr,星空さらら,Model/Chara06/Sarara.x,models/Model/Chara06/Sarara.glb,68,32
CharacterDefinitions/Chara07_01.chr,ククリ,Model/Chara07/Kukuri.x,,0,0
CharacterDefinitions/Chara07_02.chr,ククリ,Model/Chara07/KukuriMigMig.x,models/Model/Chara07/KukuriMigMig.glb,68,25
CharacterDefinitions/Chara08.chr,白蛇のナーガ,Model/Chara08/Naga.x,models/Model/Chara08/Naga.glb,86,33
CharacterDefinitions/Chara09.chr,ガジェットドローンⅠ型,Model/Chara09/Gajet1.x,models/Model/Chara09/Gajet1.glb,63,7
CharacterDefinitions/Chara10.chr,八神はやて,Model/Chara10/Hayate.x,models/Model/Chara10/Hayate.glb,70,27
CharacterDefinitions/Chara11.chr,ヴィータ,Model/Chara11/Vita.x,models/Model/Chara11/Vita.glb,95,26
CharacterDefinitions/Chara12_01.chr,高町なのはVerSts,Model/Chara12/NanohaSts.x,models/Model/Chara12/NanohaSts.glb,92,34
CharacterDefinitions/Chara12_02.chr,高町なのはVerSts,Model/Chara12/NanohaSts_02.x,models/Model/Chara12/NanohaSts_02.glb,60,31
CharacterDefinitions/Chara13.chr,金色の魔王,Model/Chara13/Lord.x,models/Model/Chara13/Lord.glb,69,31
CharacterDefinitions/Chara14.chr,キタキタおやじ,Model/Chara14/Oyaji.x,models/Model/Chara14/Oyaji.glb,74,17
CharacterDefinitions/Chara15_01.chr,フェイト・テスタロッサVerSts,Model/Chara15/FateSts.x,models/Model/Chara15/FateSts.glb,84,47
CharacterDefinitions/Chara15_02.chr,フェイト・テスタロッサVerSts,Model/Chara15/FateSts_02.x,models/Model/Chara15/FateSts_02.glb,88,32
