key	group	compiledDocs	witness	jsonPointer	value
enum:abilities.effects[]#applyBuff.hooks[].on=onAllyProtected	A:accepted-community	1	/private/tmp/ggd-first37-current-service-07/21.zip!/compiled/abilities/community-review-21-20260907.passive.json	/passive/ranks/0/hooks/0/on	"onAllyProtected"
enum:abilities.effects[]#applyBuff.hooks[].on=onAttackAttempt	A:accepted-community	2	/private/tmp/ggd-first37-current-service-07/23.zip!/compiled/abilities/community-review-23-20260907.passive.json	/passive/ranks/0/hooks/0/on	"onAttackAttempt"
enum:abilities.effects[]#applyBuff.hooks[].on=onBlock	A:accepted-community	10	/private/tmp/ggd-first37-current-service-07/02.zip!/compiled/abilities/community-review-02-20260907.w.json	/effects/0/hooks/0/on	"onBlock"
enum:abilities.effects[]#applyBuff.hooks[].on=onObservedCombat	A:accepted-community	1	/private/tmp/ggd-first37-current-service-07/26.zip!/compiled/abilities/community-review-26-20260907.passive.json	/passive/ranks/0/hooks/0/on	"onObservedCombat"
enum:abilities.effects[]#applyBuff.hooks[].on=onSummonHit	A:accepted-community	1	/private/tmp/ggd-first37-current-service-07/01.zip!/compiled/abilities/community-review-01-20260907.passive.json	/passive/ranks/0/hooks/0/on	"onSummonHit"
field:abilities.allowApproach	A:accepted-community	9	/private/tmp/ggd-first37-current-service-07/02.zip!/compiled/abilities/community-review-02-20260907.ex.json	/allowApproach	false
field:abilities.effects[]#applyBuff.block.facingArcDegrees	A:accepted-community	2	/private/tmp/ggd-first37-current-service-07/04.zip!/compiled/abilities/community-review-04-20260907.e.json	/effects/0/block/facingArcDegrees	120
field:abilities.effects[]#applyBuff.drive	A:accepted-community	2	/private/tmp/ggd-first37-current-service-07/26.zip!/compiled/abilities/community-review-26-20260907.e.json	/effects/0/drive	{"accelSec":0.3,"brakeSec":0.2,"sharpTurnDot":0.5,"sharpTurnSpeed":0.3,"turnFactor":0.2}
field:abilities.effects[]#applyBuff.evasionScope	A:accepted-community	2	/private/tmp/ggd-first37-current-service-07/31.zip!/compiled/abilities/community-review-31-20260907.w.json	/effects/0/evasionScope	{"abilities":true}
field:abilities.effects[]#applyBuff.hooks[].blockSource	A:accepted-community	8	/private/tmp/ggd-first37-current-service-07/02.zip!/compiled/abilities/community-review-02-20260907.w.json	/effects/0/hooks/0/blockSource	"thisSource"
