key	current_schema_declaration
enum:abilities.effects[]#applyBuff.hooks[].on=onAllyProtected	packages/shared/src/content/schema/effects/_hook.ts:31
enum:abilities.effects[]#applyBuff.hooks[].on=onAttackAttempt	packages/shared/src/content/schema/effects/_hook.ts:44
enum:abilities.effects[]#applyBuff.hooks[].on=onBlock	packages/shared/src/content/schema/effects/_hook.ts:112
enum:abilities.effects[]#applyBuff.hooks[].on=onObservedCombat	packages/shared/src/content/schema/effects/_hook.ts:46
enum:abilities.effects[]#applyBuff.hooks[].on=onSummonHit	packages/shared/src/content/schema/effects/_hook.ts:45
field:abilities.allowApproach	packages/shared/src/content/schema/ability.ts:736
field:abilities.effects[]#applyBuff.block.facingArcDegrees	packages/shared/src/content/schema/effects/_shared.ts:416
field:abilities.effects[]#applyBuff.drive	packages/shared/src/content/schema/effects/_shared.ts:847
field:abilities.effects[]#applyBuff.evasionScope	packages/shared/src/content/schema/effects/_shared.ts:823
field:abilities.effects[]#applyBuff.hooks[].blockSource	packages/shared/src/content/schema/effects/_hook.ts:660
field:abilities.effects[]#applyBuff.hooks[].damageConnected	packages/shared/src/content/schema/effects/_hook.ts:663
field:abilities.effects[]#applyBuff.hooks[].evadeChannel	packages/shared/src/content/schema/effects/_hook.ts:664
field:abilities.effects[]#applyBuff.hooks[].evadeDuring	packages/shared/src/content/schema/effects/_hook.ts:661
field:abilities.effects[]#applyBuff.hooks[].evadeSource	packages/shared/src/content/schema/effects/_hook.ts:665
field:abilities.effects[]#applyBuff.hooks[].observedEvent	packages/shared/src/content/schema/effects/_hook.ts:659
field:abilities.effects[]#applyBuff.hooks[].stationaryForSec	packages/shared/src/content/schema/effects/_hook.ts:662
field:abilities.effects[]#applyBuff.vision.revealed	packages/shared/src/content/schema/effects/_shared.ts:748
field:abilities.effects[]#applyStatus.grantMark	packages/shared/src/content/schema/effects/applyStatus.ts:50
field:abilities.effects[]#applyStatus.grantMark.lethal.maxSavesPerRound	packages/shared/src/content/schema/effects/_mark.ts:14
field:abilities.effects[]#chainLightning.retargetOnLost	packages/shared/src/content/schema/effects/chainLightning.ts:103
field:abilities.effects[]#damageArea.arcHalfAngleCos	packages/shared/src/content/schema/effects/damageArea.ts:42
field:abilities.effects[]#damageArea.fromCaster	packages/shared/src/content/schema/effects/damageArea.ts:41
field:abilities.effects[]#damageLine.fromSummonSlot	packages/shared/src/content/schema/effects/damageLine.ts:43
field:abilities.effects[]#dash.onHit	packages/shared/src/content/schema/effects/dash.ts:17
field:abilities.effects[]#dash.onTouch	packages/shared/src/content/schema/effects/dash.ts:19
field:abilities.effects[]#dash.stopOnHit	packages/shared/src/content/schema/effects/dash.ts:16
field:abilities.effects[]#dash.touchScope	packages/shared/src/content/schema/effects/dash.ts:21
field:abilities.effects[]#dispel.statusTag	packages/shared/src/content/schema/effects/dispel.ts:18
field:abilities.effects[]#shield.breakOnMove	packages/shared/src/content/schema/effects/shield.ts:15
field:abilities.effects[]#summon.targetOnSpawn	packages/shared/src/content/schema/effects/summon.ts:64
field:abilities.interruptible	packages/shared/src/content/schema/ability.ts:930
field:abilities.passive.ranks[].drive	packages/shared/src/content/schema/effects/_shared.ts:847
field:abilities.passive.ranks[].evasionScope	packages/shared/src/content/schema/effects/_shared.ts:823
field:abilities.recast	packages/shared/src/content/schema/ability.ts:734
field:abilities.requiredSummonSlot	packages/shared/src/content/schema/ability.ts:735
field:abilities.requiredTargetStatus	packages/shared/src/content/schema/ability.ts:737
field:augments.drive	packages/shared/src/content/schema/effects/_shared.ts:847
field:augments.evasionScope	packages/shared/src/content/schema/effects/_shared.ts:823
field:champions.abilities.*.allowApproach	packages/shared/src/content/schema/ability.ts:736
field:champions.abilities.*.interruptible	packages/shared/src/content/schema/ability.ts:930
field:champions.abilities.*.recast	packages/shared/src/content/schema/ability.ts:734
field:champions.abilities.*.requiredSummonSlot	packages/shared/src/content/schema/ability.ts:735
field:champions.abilities.*.requiredTargetStatus	packages/shared/src/content/schema/ability.ts:737
field:items.passive[].blockSource	packages/shared/src/content/schema/effects/_hook.ts:660
field:items.passive[].damageConnected	packages/shared/src/content/schema/effects/_hook.ts:663
field:items.passive[].evadeChannel	packages/shared/src/content/schema/effects/_hook.ts:664
field:items.passive[].evadeDuring	packages/shared/src/content/schema/effects/_hook.ts:661
field:items.passive[].evadeSource	packages/shared/src/content/schema/effects/_hook.ts:665
field:items.passive[].observedEvent	packages/shared/src/content/schema/effects/_hook.ts:659
field:items.passive[].stationaryForSec	packages/shared/src/content/schema/effects/_hook.ts:662
variant:abilities.effects[]#interruptCast	packages/shared/src/content/schema/effects/interruptCast.ts:3
variant:abilities.effects[]#timeStop	packages/shared/src/content/schema/effects/timeStop.ts:6
variant:abilities.effects[]#trap	packages/shared/src/content/schema/effects/trap.ts:6
