source_format,runtime_capability_fingerprint,source_document,id,rank,rank_display,tier_backend,selection_slot,selection_slot_display,name,description,weight,tags,eligibility_type,eligibility_requiresModeFeature,eligibility_requiresAnyMechanic,eligibility_requiresEnemyAnyMechanic,eligibility_excludeAnyMechanic,eligibility_requiresResource,eligibility_requiresAnyTag,eligibility_prefersAnyTag,eligibility_requiresSafeProxySlots,eligibility_requiresAbilitySlot,eligibility_requiresAnyAbilitySlot,eligibility_requiresRHitEnemyChampion,eligibility_onlyAttackArchetype,eligibility_json,runtime_status,tuning_status,modifiers_json,hooks_json,block_json,crit_strike_json,attributes_json,damage_type_override_json,flight_json,penetration_json,implementation_notes,implementation_notes_json,augment_json
ggd-sacred-grail-wish-pack@1,ggd-runtime-capabilities@1/8d30566f,技能標記機制與效果規則.md,grail-c-01,C,C級願望,silver,generic,第二願望,固有技能・對魔力 C,[暈眩][淨化] 被暈眩時，立即移除最新一個負面狀態。25秒冷卻。,100,grail-wish | control | dispel | defense,all,,,,,,,,,,,,,"{""type"":""all""}",direct,proposal,,"[{""on"":""onStunned"",""effects"":[{""kind"":""dispel"",""shape"":""single"",""side"":""allies"",""pools"":{""status"":true,""shields"":false,""dot"":true,""buffs"":true},""polarity"":""debuff"",""count"":1,""order"":""newest""}],""target"":""self"",""internalCooldown"":25}]",,,,,,,,[],"{""id"":""grail-c-01"",""name"":""固有技能・對魔力 C"",""description"":""[暈眩][淨化] 被暈眩時，立即移除最新一個負面狀態。25秒冷卻。"",""tier"":""silver"",""weight"":100,""tags"":[""grail-wish"",""control"",""dispel"",""defense""],""hooks"":[{""on"":""onStunned"",""effects"":[{""kind"":""dispel"",""shape"":""single"",""side"":""allies"",""pools"":{""status"":true,""shields"":false,""dot"":true,""buffs"":true},""polarity"":""debuff"",""count"":1,""order"":""newest""}],""target"":""self"",""internalCooldown"":25}]}"
ggd-sacred-grail-wish-pack@1,ggd-runtime-capabilities@1/8d30566f,技能標記機制與效果規則.md,grail-c-02,C,C級願望,silver,synergy,第一願望,固有技能・心眼（偽）C,[迴避][擊退] 成功迴避敵方攻擊時，將攻擊者小幅擊退。8秒冷卻。,100,grail-wish | evasion | knockback | counter,,,evasion,,,,,,,,,,,"{""requiresAnyMechanic"":[""evasion""]}",direct,proposal,,"[{""on"":""onEvade"",""effects"":[{""kind"":""knockback"",""distanceTier"":""極小"",""from"":""caster"",""applyTo"":""target""}],""target"":""event"",""internalCooldown"":8}]",,,,,,,,[],"{""id"":""grail-c-02"",""name"":""固有技能・心眼（偽）C"",""description"":""[迴避][擊退] 成功迴避敵方攻擊時，將攻擊者小幅擊退。8秒冷卻。"",""tier"":""silver"",""weight"":100,""tags"":[""grail-wish"",""evasion"",""knockback"",""counter""],""hooks"":[{""on"":""onEvade"",""effects"":[{""kind"":""knockback"",""distanceTier"":""極小"",""from"":""caster"",""applyTo"":""target""}],""target"":""event"",""internalCooldown"":8}]}"
ggd-sacred-grail-wish-pack@1,ggd-runtime-capabilities@1/8d30566f,技能標記機制與效果規則.md,grail-c-03,C,C級願望,silver,synergy,第一願望,魔術・反射術式 C,[反彈][回魔] 成功反彈傷害時，回復6%最大魔力。5秒冷卻。,100,grail-wish | reflect | mana | sustain,,,reflect,,,,,,,,,,,"{""requiresAnyMechanic"":[""reflect""]}",direct,proposal,,"[{""on"":""onReflectSuccess"",""effects"":[{""kind"":""restore"",""manaPct"":0.06,""applyTo"":""self""}],""target"":""self"",""internalCooldown"":5}]",,,,,,,,[],"{""id"":""grail-c-03"",""name"":""魔術・反射術式 C"",""description"":""[反彈][回魔] 成功反彈傷害時，回復6%最大魔力。5秒冷卻。"",""tier"":""silver"",""weight"":100,""tags"":[""grail-wish"",""reflect"",""mana"",""sustain""],""hooks"":[{""on"":""onReflectSuccess"",""effects"":[{""kind"":""restore"",""manaPct"":0.06,""applyTo"":""self""}],""target"":""self"",""internalCooldown"":5}]}"
ggd-sacred-grail-wish-pack@1,ggd-runtime-capabilities@1/8d30566f,技能標記機制與效果規則.md,grail-c-04,C,C級願望,silver,pivot,第三願望,魔術・魔力回收 C,[受傷][傷害轉魔力] 實際失去生命時，將該次生命損失的15%轉化為魔力。1秒冷卻。,100,grail-wish | damage-taken | mana | conversion,,,,,,mana,,,,,,,,"{""requiresResource"":[""mana""]}",direct,proposal,,"[{""on"":""onDamageTaken"",""effects"":[{""kind"":""eventValueConversion"",""shape"":""single"",""source"":""incomingDamage"",""basis"":""hpLost"",""ratio"":0.15,""to"":""mana"",""who"":""self""}],""target"":""self"",""internalCooldown"":1}]",,,,,,,,[],"{""id"":""grail-c-04"",""name"":""魔術・魔力回收 C"",""description"":""[受傷][傷害轉魔力] 實際失去生命時，將該次生命損失的15%轉化為魔力。1秒冷卻。"",""tier"":""silver"",""weight"":100,""tags"":[""grail-wish"",""damage-taken"",""mana"",""conversion""],""hooks"":[{""on"":""onDamageTaken"",""effects"":[{""kind"":""eventValueConversion"",""shape"":""single"",""source"":""incomingDamage"",""basis"":""hpLost"",""ratio"":0.15,""to"":""mana"",""who"":""self""}],""target"":""self"",""internalCooldown"":1}]}"
ggd-sacred-grail-wish-pack@1,ggd-runtime-capabilities@1/8d30566f,技能標記機制與效果規則.md,grail-c-05,C,C級願望,silver,pivot,第三願望,魔術・魔力裝甲 C,[最大魔力][最大生命] 最大魔力的20%同時視為額外最大生命。,100,grail-wish | mana | health | stat-conversion,,,,,,mana,,,,,,,,"{""requiresResource"":[""mana""]}",direct,proposal,"[{""stat"":""maxHealth"",""op"":""percentOf"",""value"":0.2,""from"":""maxMana""}]",,,,,,,,,[],"{""id"":""grail-c-05"",""name"":""魔術・魔力裝甲 C"",""description"":""[最大魔力][最大生命] 最大魔力的20%同時視為額外最大生命。"",""tier"":""silver"",""weight"":100,""tags"":[""grail-wish"",""mana"",""health"",""stat-conversion""],""modifiers"":[{""stat"":""maxHealth"",""op"":""percentOf"",""value"":0.2,""from"":""maxMana""}]}"
ggd-sacred-grail-wish-pack@1,ggd-runtime-capabilities@1/8d30566f,技能標記機制與效果規則.md,grail-c-06,C,C級願望,silver,pivot,第三願望,固有技能・高速詠唱 C,[攻速][CDR] 每1.0攻速同時提供5%冷卻縮減，最多20%。原攻速不會消失。,100,grail-wish | attack-speed | cdr | stat-conversion,,,,,,,,attack-speed,,,,,,"{""prefersAnyTag"":[""attack-speed""]}",direct,proposal,"[{""stat"":""cdr"",""op"":""percentOf"",""value"":0.05,""from"":""as""}]",,,,,,,,當攻速可被其他來源解鎖至4以上時，需由全域CDR上限或內容編譯器限制本願望最多提供20%。,"[""當攻速可被其他來源解鎖至4以上時，需由全域CDR上限或內容編譯器限制本願望最多提供20%。""]","{""id"":""grail-c-06"",""name"":""固有技能・高速詠唱 C"",""description"":""[攻速][CDR] 每1.0攻速同時提供5%冷卻縮減，最多20%。原攻速不會消失。"",""tier"":""silver"",""weight"":100,""tags"":[""grail-wish"",""attack-speed"",""cdr"",""stat-conversion""],""modifiers"":[{""stat"":""cdr"",""op"":""percentOf"",""value"":0.05,""from"":""as""}]}"
ggd-sacred-grail-wish-pack@1,ggd-runtime-capabilities@1/8d30566f,技能標記機制與效果規則.md,grail-c-07,C,C級願望,silver,pivot,第三願望,固有技能・魔力放出 C,[普攻][傷害轉換] 所有普通攻擊改為魔法傷害，原傷害數值不變。,100,grail-wish | basic-attack | damage-type | magic,all,,,,,,,,,,,,,"{""type"":""all""}",direct,proposal,,,,,,"{""scope"":""basic"",""becomes"":""magic"",""applyAt"":""afterGates"",""impactType"":""original""}",,,,[],"{""id"":""grail-c-07"",""name"":""固有技能・魔力放出 C"",""description"":""[普攻][傷害轉換] 所有普通攻擊改為魔法傷害，原傷害數值不變。"",""tier"":""silver"",""weight"":100,""tags"":[""grail-wish"",""basic-attack"",""damage-type"",""magic""],""damageTypeOverride"":{""scope"":""basic"",""becomes"":""magic"",""applyAt"":""afterGates"",""impactType"":""original""}}"
ggd-sacred-grail-wish-pack@1,ggd-runtime-capabilities@1/8d30566f,技能標記機制與效果規則.md,grail-c-08,C,C級願望,silver,synergy,第一願望,概念武裝・起源彈 C,[技能命中][驅散] 技能命中敵方英雄時，移除其最新一個可驅散增益。12秒冷卻。,100,grail-wish | ability-hit | dispel | anti-buff,,,,,,,ability-damage,,,,,,,"{""requiresAnyTag"":[""ability-damage""]}",direct,proposal,,"[{""on"":""onAbilityHit"",""effects"":[{""kind"":""dispel"",""shape"":""single"",""side"":""enemies"",""pools"":{""status"":false,""shields"":false,""dot"":false,""buffs"":true},""polarity"":""buff"",""count"":1,""order"":""newest""}],""target"":""event"",""victim"":""enemyChampion"",""internalCooldown"":12}]",,,,,,,,[],"{""id"":""grail-c-08"",""name"":""概念武裝・起源彈 C"",""description"":""[技能命中][驅散] 技能命中敵方英雄時，移除其最新一個可驅散增益。12秒冷卻。"",""tier"":""silver"",""weight"":100,""tags"":[""grail-wish"",""ability-hit"",""dispel"",""anti-buff""],""hooks"":[{""on"":""onAbilityHit"",""effects"":[{""kind"":""dispel"",""shape"":""single"",""side"":""enemies"",""pools"":{""status"":false,""shields"":false,""dot"":false,""buffs"":true},""polarity"":""buff"",""count"":1,""order"":""newest""}],""target"":""event"",""victim"":""enemyChampion"",""internalCooldown"":12}]}"
ggd-sacred-grail-wish-pack@1,ggd-runtime-capabilities@1/8d30566f,技能標記機制與效果規則.md,grail-c-09,C,C級願望,silver,synergy,第一願望,概念武裝・破界之槍 C,[技能命中][破盾] 技能命中敵方英雄時，移除其一層護盾。12秒冷卻。,100,grail-wish | ability-hit | shield-break | anti-shield,,,,shield,,,,,,,,,,"{""requiresEnemyAnyMechanic"":[""shield""]}",direct,proposal,,"[{""on"":""onAbilityHit"",""effects"":[{""kind"":""shieldBreak"",""shape"":""single"",""side"":""enemies"",""count"":1,""order"":""newest""}],""target"":""event"",""victim"":""enemyChampion"",""internalCooldown"":12}]",,,,,,,,[],"{""id"":""grail-c-09"",""name"":""概念武裝・破界之槍 C"",""description"":""[技能命中][破盾] 技能命中敵方英雄時，移除其一層護盾。12秒冷卻。"",""tier"":""silver"",""weight"":100,""tags"":[""grail-wish"",""ability-hit"",""shield-break"",""anti-shield""],""hooks"":[{""on"":""onAbilityHit"",""effects"":[{""kind"":""shieldBreak"",""shape"":""single"",""side"":""enemies"",""count"":1,""order"":""newest""}],""target"":""event"",""victim"":""enemyChampion"",""internalCooldown"":12}]}"
ggd-sacred-grail-wish-pack@1,ggd-runtime-capabilities@1/8d30566f,技能標記機制與效果規則.md,grail-c-10,C,C級願望,silver,pivot,第三願望,固有技能・魂喰 C,[擊殺][成長] 每累積擊殺5個單位，永久獲得1力量、1敏捷、1智慧；各最多20點。,100,grail-wish | kill | scaling | attributes,,killable-units,,,,,,,,,,,,"{""requiresModeFeature"":[""killable-units""]}",direct,proposal,,"[{""on"":""onKill"",""effects"":[{""kind"":""grantAttribute"",""attr"":""str"",""mode"":""flat"",""amount"":1,""everyNth"":5,""store"":""source"",""maxSourceTotal"":20},{""kind"":""grantAttribute"",""attr"":""agi"",""mode"":""flat"",""amount"":1,""everyNth"":5,""store"":""source"",""maxSourceTotal"":20},{""kind"":""grantAttribute"",""attr"":""int"",""mode"":""flat"",""amount"":1,""everyNth"":5,""store"":""source"",""maxSourceTotal"":20}],""target"":""self"",""victim"":""any""}]",,,,,,,,[],"{""id"":""grail-c-10"",""name"":""固有技能・魂喰 C"",""description"":""[擊殺][成長] 每累積擊殺5個單位，永久獲得1力量、1敏捷、1智慧；各最多20點。"",""tier"":""silver"",""weight"":100,""tags"":[""grail-wish"",""kill"",""scaling"",""attributes""],""hooks"":[{""on"":""onKill"",""effects"":[{""kind"":""grantAttribute"",""attr"":""str"",""mode"":""flat"",""amount"":1,""everyNth"":5,""store"":""source"",""maxSourceTotal"":20},{""kind"":""grantAttribute"",""attr"":""agi"",""mode"":""flat"",""amount"":1,""everyNth"":5,""store"":""source"",""maxSourceTotal"":20},{""kind"":""grantAttribute"",""attr"":""int"",""mode"":""flat"",""amount"":1,""everyNth"":5,""store"":""source"",""maxSourceTotal"":20}],""target"":""self"",""victim"":""any""}]}"
