championId,name,file,reject_reasons,source,decision,note
community-review-06-20260907,卡比,incoming/downloaded_permitted/community-review-06-20260907.mp3,duration<3.0s background_music(heuristic),"game-voice: 星のカービィ ディスカバリー (Kirby and the Forgotten Land, 2022) — Kirby voice sample",,
community-review-07-20260907,西索,incoming/downloaded_permitted/community-review-07-20260907.wav,background_music(heuristic),youtube: 『HUNTER×HUNTER』ヒソカ × クロロ PV（cv:浪川大輔、宮野真守）— ジャンプチャンネル (official),,
community-review-09-20260907,赫蘿,incoming/downloaded_permitted/community-review-09-20260907.wav,background_music(heuristic),"official-sample: 【狼と香辛料】「賢狼ホロのわっちチャンネル」#19 (TOHO animation チャンネル, official)",,
community-review-10-20260907,魯路修,incoming/user_owned/community-review-10-20260907.wav,multi_speaker(heuristic),owner game-voice library (角色語音索引 300heroes:213),,
community-review-11-20260907,利姆路,incoming/user_owned/community-review-11-20260907.wav,multi_speaker(heuristic),owner game-voice library (角色語音索引 thunderstore-rimuru-ror2),,
community-review-21-20260907,鹿目圓,incoming/user_owned/community-review-21-20260907.wav,background_music(heuristic),owner game-voice library (角色語音索引 300heroes:150),,
community-review-26-20260907,名偵探柯南,incoming/user_owned/community-review-26-20260907.wav,multi_speaker(heuristic),owner game-voice library (角色語音索引 300heroes:139),,
community-review-27-20260907,庫洛魔法使,incoming/user_owned/community-review-27-20260907.wav,background_music(heuristic),owner game-voice library (角色語音索引 300heroes:292),,
community-review-28-20260907,艾莉絲·伯雷亞斯·格雷拉特,incoming/downloaded_permitted/community-review-28-20260907.wav,background_music(heuristic),youtube: 無職転生 クロニクル・オブ・エコーズ（ゲーム）キャラクターPV：エリス,,
community-review-29-20260907,芙莉蓮,incoming/user_owned/community-review-29-20260907.wav,background_music(heuristic),owner game-voice library (角色語音索引 300heroes:333),,
community-review-31-20260907,SUN樂,incoming/downloaded_permitted/community-review-31-20260907.wav,multi_speaker(heuristic),youtube: シャングリラ・フロンティア キャラクターPV「サンラク／陽務楽郎」cv.内田雄馬,,
community-review-35-20260907,炭治郎,incoming/user_owned/community-review-35-20260907.wav,multi_speaker(heuristic),owner game-voice library (角色語音索引 300heroes:267),,
community-review-36-20260907,鬼畜王蘭斯,incoming/downloaded_permitted/community-review-36-20260907.wav,multi_speaker(heuristic),game-voice: ランス03 リーザス陥落 オープニングムービー（アリスソフト公式・シリーズ初フルボイス）,,
community-review-37-20260907,吉伊卡哇,incoming/user_owned/community-review-37-20260907.wav,multi_speaker(heuristic),owner game-voice library (角色語音索引 github-chiikawa:chiikawa),,
b2-aladdin,阿拉丁,incoming/downloaded_permitted/b2-aladdin.wav,background_music(heuristic),anime-clip: TVアニメ「マギ」新トレーラー（アニプレックス）,,
b2-albus,阿爾巴斯,（沒有來源：無官方聲優）,,,,
b2-fushi,不死,incoming/downloaded_permitted/b2-fushi.wav,background_music(heuristic),youtube: アニメ『不滅のあなたへ』番組PV第2弾（Season1・NHK）,,
b2-kaede,楓,（沒有來源：無官方聲優）,,,,
b2-kaiji,伊藤開司,incoming/downloaded_permitted/b2-kaiji.wav,background_music(heuristic),youtube: スマホゲーム『カイジ -闇の黙示録-』プレイ動画（iOS）,,
b2-keyaru,凱亞爾,incoming/downloaded_permitted/b2-keyaru.wav,background_music(heuristic),youtube: TVアニメ『回復術士のやり直し』PV第1弾（2020-10-30、ケヤルガの声初お披露目）,,
b2-kisaragi,如月電車,（沒有來源：無官方聲優）,,,,
b2-klaus,克勞斯,（沒有來源：無官方聲優）,,,,
b2-makoto,深澄真,incoming/downloaded_permitted/b2-makoto.wav,background_music(heuristic),youtube: 月が導く異世界道中 第一夜「勇者…失格」本編映像,,
b2-maomao,貓貓,incoming/downloaded_permitted/b2-maomao.wav,background_music(heuristic),youtube: 薬屋のひとりごと Web特別PV -猫猫＆壬氏編-,,
b2-maple,梅普露,incoming/user_owned/b2-maple.wav,background_music(heuristic),owner game-voice library (角色語音索引 300heroes:272),,
b2-misery,米瑟利,（沒有來源：無官方聲優）,,,,
b2-naofumi,岩谷尚文,incoming/downloaded_permitted/b2-naofumi.wav,multi_speaker(heuristic),youtube: MFブックス『盾の勇者の成り上がり』CM（NA/岩谷尚文CV：石川界人）,,
b2-ned,青蛙劍士 Ned,（沒有來源：無官方聲優）,,,,
b2-noor,諾爾,incoming/downloaded_permitted/b2-noor.wav,background_music(heuristic),youtube: TVアニメ『俺は全てを【パリイ】する』第1話本編【公式無料配信】,,
b2-shadow,闇影,incoming/downloaded_permitted/b2-shadow.wav,background_music(heuristic),youtube: TVアニメ『陰の実力者になりたくて！』PV第2弾（KADOKAWAanime公式）,,
b2-shinchan,野原新之助,incoming/downloaded_permitted/b2-shinchan.wav,background_music(heuristic),youtube: 【クレヨンしんちゃん】小林由美子、ならはしみき、森川智之、こおろぎさとみ、チョーがキャラボイス披露！（シネマトゥデイ）,,
b2-yogiri,高遠夜霧,incoming/downloaded_permitted/b2-yogiri.wav,background_music(heuristic),youtube: TVアニメ「即死チート」第2弾PV（公式チャンネル）,,
