rank,id,character,voice_profile,official_voice_actor,casting_reference,file_path,duration,sample_rate,channels,bit_depth,integrated_loudness,true_peak,clipping_ratio,automated_quality_status,automated_flags,human_review_status,human_review_round,review_record_id,source_kind,source_path,source_page,direct_url,identity_basis,sha256,notes
1,godie-e001,龍宮禮奈,female_dynamic,中原麻衣,中原麻衣的角色演技方向,approved/processed/godie-e001.wav,8,24000,1,16,-18.6,-4.6,0.0,usable,,locked_pass,round1,godie-e001,initial_approved,incoming/downloaded_permitted/godie-e001.wav,https://www.youtube.com/watch?v=jqLu4rKv0q4,https://www.youtube.com/watch?v=jqLu4rKv0q4,source_targeted_unreviewed,f570b9327e1499f74bad01e04d90af14c3604259a0765080b4350e05841ab129,recovered complete audio from an interrupted report write; source_url=https://www.youtube.com/watch?v=jqLu4rKv0q4
2,godie-e002,Saber,female_low_regal,川澄綾子,川澄綾子的王者型演技方向,approved/processed/godie-e002.wav,8,24000,1,16,-19.4,-4.9,0.0,usable,,locked_pass,round2,godie-e002,replacement,incoming/downloaded_permitted/replacements/packs/godie-e002__youtube.wav,https://www.youtube.com/watch?v=URHpKGlxh94,https://www.youtube.com/watch?v=URHpKGlxh94,exact named Japanese game voice lines,fc66956f3e6a50f156e2c09fe3b0007dfafee8c7444505e2daa88a60698d791a,Saber all voice lines Japanese; single-character asset overrides spectral speaker heuristic
3,godie-e007,天地志狼,male_youth_heroic,無固定動畫聲優,建議関智一型熱血方向,approved/processed/godie-e007.wav,8,24000,1,16,-18.8,-1.0,0.0,usable,,locked_pass,round3,godie-e007,replacement,incoming/downloaded_permitted/replacements/cleaned/godie-e007__shiro_dialogue.wav,https://www.youtube.com/watch?v=Zebif54pxi0,https://www.youtube.com/watch?v=Zebif54pxi0,exact named Japanese drama-CD character performance,40f000183582915a7e9c1254db6ff6d914fe0681b6477740ef9279d42a2b98da,Ryuuroden drama CD Shiro monologue at 05:23; center-dialogue extraction removes most score and excludes the preceding child and following speaker; single-character asset overrides spectral speaker heuristic
4,godie-e008,夏娜,female_high_tsundere,釘宮理恵,釘宮理恵的傲嬌爆發方向,approved/processed/godie-e008.wav,5.673,24000,1,16,-19.1,-5.2,0.0,usable,,locked_pass,round2,godie-e008,replacement,incoming/downloaded_permitted/replacements/packs/godie-e008__youtube.wav,https://www.youtube.com/watch?v=DhjCze9zOOo,https://www.youtube.com/watch?v=DhjCze9zOOo,exact named Japanese game voice lines,58ec87b51ae8354d9558d55b5b2464dbf9289537a221538e75baf2defb9ff460,Crossing Void Shana voice compilation
5,godie-e00k,安云,female_low_assassin,無固定動畫聲優,上田麗奈（栗花落香奈乎）型方向,approved/processed/godie-e00k.wav,10.872,24000,1,16,-18.9,-6.6,0.0,usable,,locked_pass,round5,godie-e00k,replacement,incoming/user_owned/godie-e00k.wav,https://sounds.spriters-resource.com/pc_computer/demonslayerkimetsunoyaibasweeptheboard/asset/535703/,https://sounds.spriters-resource.com/media/assets/515/535703.zip?updated=1774291830,profile-matched Japanese reserved girl voice,f3f464bc616bb938fac1d38d720c098c084f9a91c1e534d9c71600d092d51fe1,"Kanao Tsuyuri's direct Japanese game voice archive; six clean solo WAV files by 上田麗奈 were joined with short silences, with no music, effects, or other speaker"
6,godie-e00r,初號機,creature_mechanical,無固定人類聲優,建議專業怪獸聲音演員,approved/processed/godie-e00r.wav,7.9998,24000,1,16,-18.6,-4.1,0.0,usable,,locked_pass,round2,godie-e00r,replacement,incoming/downloaded_permitted/replacements/packs/godie-e00r__youtube.wav,https://www.youtube.com/watch?v=VVtx3xE8uGQ,https://www.youtube.com/watch?v=VVtx3xE8uGQ,exact named character compilation,939f1dd613fafcbfb0e40006ab176b0387bae9c558e8a6792e808b5c349c01df,Nonverbal Unit-01 roar compilation
7,godie-e00w,櫻綻剎那,female_swordfighter,小林ゆう,小林ゆう的劍士演技方向,approved/processed/godie-e00w.wav,7.968,24000,1,16,-18.8,-4.6,0.0,usable,,locked_pass,round2,godie-e00w,replacement,incoming/downloaded_permitted/replacements/packs/godie-e00w__gbf_introduce1.mp3,https://gbf.wiki/Setsuna_Sakurazaki/Voice,https://gbf.wiki/images/2/2c/3040576000_introduce1.mp3,exact named character voice page,202f588e49edbcf819c3747a52a95c6066fb4d4f5be31b091e3618b78474a3ad,Granblue Fantasy 2025 Negima collaboration; single-character asset overrides spectral speaker heuristic
8,godie-edem,宇智波佐助,male_youth_cold,杉山紀彰,杉山紀彰的冷淡少年方向,approved/processed/godie-edem.wav,5.872,24000,1,16,-18.5,-4.0,0.0,usable,,locked_pass,round2,godie-edem,replacement,incoming/downloaded_permitted/replacements/packs/godie-edem__youtube.wav,https://www.youtube.com/watch?v=1o--LCsrpqw,https://www.youtube.com/watch?v=1o--LCsrpqw,exact named Japanese game voice lines,664852e7328e0973868eb8d98d1c9c724a16ea0372e6198d414e80c290936fde,Jump Force Sasuke Japanese voice compilation
9,godie-emfr,涅吉,child_boy_clear,佐藤利奈,女性聲優演男童方向,approved/processed/godie-emfr.wav,9.36,24000,1,16,-19.0,-7.2,0.0,usable,,locked_pass,round2,godie-emfr,replacement,incoming/downloaded_permitted/replacements/packs/godie-emfr__gbf_introduce1.mp3,https://gbf.wiki/Negi_Springfield/Voice,https://gbf.wiki/images/d/d9/3040574000_introduce1.mp3,exact named character voice page,752e42131ab4293bf0fa098d6c79f54c349964dbbf48fe5be4e3e70289663d96,Granblue Fantasy 2025 Negima collaboration; single-character asset overrides spectral speaker heuristic
10,godie-emns,夜神月,male_intelligent_manic,宮野真守,宮野真守的優雅狂氣方向,approved/processed/godie-emns.wav,8,24000,1,16,-18.6,-3.0,0.0,usable,,locked_pass,round2,godie-emns,replacement,incoming/downloaded_permitted/replacements/packs/godie-emns__youtube.wav,https://www.youtube.com/watch?v=C65oaIHsdYM,https://www.youtube.com/watch?v=C65oaIHsdYM,exact Japanese character performance,03a8f2de5dfe500beadaae53617a989d54118af26b65c6f4db5cdfa5a7aab16e,Original Kira laugh scene
