id,character,input_path,source_page,direct_url,source_sha256,selection,segment_start,segment_duration,raw_path,processed_path,identity_basis,cleanup_profile,duration,sample_rate,channels,bit_depth,integrated_loudness,true_peak,clipping_ratio,silence_ratio,estimated_snr,speech_or_vocal_ratio,music_probability,multiple_speaker_probability,quality_status,rejection_reasons,processed_at,notes
godie-no100,兩津勘吉（編號100）,incoming/downloaded_permitted/replacements/review3_sources/godie-no100__Ik38QlO6HvY.wav,https://www.youtube.com/watch?v=Ik38QlO6HvY,https://www.youtube.com/watch?v=Ik38QlO6HvY,5cfc890c55e2e1a42c8e1aed233858556f4cf7ff111be042e0d14260d1eaa357,manual:7.00:9.50,7.000,9.500,approved/replacements/raw/godie-no100.wav,approved/replacements/processed/godie-no100.wav,exact Taiwan-dub Ryotsu performance,game_asset_highpass_loudnorm_no_denoise,9.5,24000,1,16,-19.3,-7.4,0.0,0.0,60.0,1.0,0.5564,0.3823,usable,,2026-07-25T04:24:46.289478+00:00,User-requested Taiwan Taiwanese-language Ryotsu; frames show Ryotsu alone chanting throughout the selected span; separate 林協忠 interview confirms the Taiwan casting and ad-libbed Taiwanese style
godie-e00w,櫻綻剎那,incoming/downloaded_permitted/replacements/packs/godie-e00w__gbf_introduce1.mp3,https://gbf.wiki/Setsuna_Sakurazaki/Voice,https://gbf.wiki/images/2/2c/3040576000_introduce1.mp3,79acabde2ffa023f2b80854095d65fb9757b2e11f765691d778235d39fe35ef0,whole_file,0.000,7.968,approved/replacements/raw/godie-e00w.wav,approved/replacements/processed/godie-e00w.wav,exact named character voice page,game_asset_highpass_loudnorm_no_denoise,7.968,24000,1,16,-18.8,-4.6,0.0,0.386935,57.39,0.613065,0.4731,1.0,usable,,2026-07-25T07:02:19.494529+00:00,Granblue Fantasy 2025 Negima collaboration; single-character asset overrides spectral speaker heuristic
godie-e00r,初號機,incoming/downloaded_permitted/replacements/packs/godie-e00r__youtube.wav,https://www.youtube.com/watch?v=VVtx3xE8uGQ,https://www.youtube.com/watch?v=VVtx3xE8uGQ,cee5a110ed222e61b6a977f544a2ebae487928d2c94ac362215f682348995e7d,auto_best_8s,68.986,8.000,approved/replacements/raw/godie-e00r.wav,approved/replacements/processed/godie-e00r.wav,exact named character compilation,game_asset_highpass_loudnorm_no_denoise,7.9998,24000,1,16,-18.6,-4.1,0.0,0.007519,31.71,0.992481,0.3903,0.171,usable,,2026-07-25T07:02:20.394733+00:00,Nonverbal Unit-01 roar compilation
godie-emfr,涅吉,incoming/downloaded_permitted/replacements/packs/godie-emfr__gbf_introduce1.mp3,https://gbf.wiki/Negi_Springfield/Voice,https://gbf.wiki/images/d/d9/3040574000_introduce1.mp3,0c4b52cfda0b2072510a222e437ef801ad56eb3b4365416904ccce259f1890f6,whole_file,0.000,9.360,approved/replacements/raw/godie-emfr.wav,approved/replacements/processed/godie-emfr.wav,exact named character voice page,game_asset_highpass_loudnorm_no_denoise,9.36,24000,1,16,-19.0,-7.2,0.0,0.320513,60.42,0.679487,0.5085,0.8258,usable,,2026-07-25T07:02:20.869898+00:00,Granblue Fantasy 2025 Negima collaboration; single-character asset overrides spectral speaker heuristic
godie-emns,夜神月,incoming/downloaded_permitted/replacements/packs/godie-emns__youtube.wav,https://www.youtube.com/watch?v=C65oaIHsdYM,https://www.youtube.com/watch?v=C65oaIHsdYM,83ea7c8afa7c8ee6f4d9be8c38e34fa0f5153d24d9de24444dc27faebdb5359c,auto_best_8s,18.000,8.000,approved/replacements/raw/godie-emns.wav,approved/replacements/processed/godie-emns.wav,exact Japanese character performance,game_asset_highpass_loudnorm_no_denoise,8.0,24000,1,16,-18.6,-3.0,0.0,0.0275,28.44,0.9725,0.3782,0.0088,usable,,2026-07-25T07:02:21.670146+00:00,Original Kira laugh scene
godie-n003,依文潔琳,incoming/downloaded_permitted/replacements/packs/godie-n003__gbf_introduce1.mp3,https://gbf.wiki/Evangeline_A.K._McDowell/Voice,https://gbf.wiki/images/1/1f/3040575000_introduce1.mp3,9da05ef63f88d386dec3178e2a9a64ca51c354b72dfc018aec249298d4edaf57,whole_file,0.000,7.536,approved/replacements/raw/godie-n003.wav,approved/replacements/processed/godie-n003.wav,exact named character voice page,game_asset_highpass_loudnorm_no_denoise,7.536,24000,1,16,-19.4,-6.8,0.0,0.337766,58.02,0.662234,0.5818,1.0,usable,,2026-07-25T07:02:22.097983+00:00,Granblue Fantasy 2025 Negima collaboration; single-character asset overrides spectral speaker heuristic
godie-n00p,南野秀一,incoming/downloaded_permitted/replacements/packs/godie-n00p__youtube.wav,https://www.youtube.com/watch?v=-OuCP8OLaPE,https://www.youtube.com/watch?v=-OuCP8OLaPE,20ed9f2afce10786b2cce6fc876ed39b64d5eb99813884c36736c8f6f63cea1a,manual:799.49:8,799.490,8.000,approved/replacements/raw/godie-n00p.wav,approved/replacements/processed/godie-n00p.wav,exact named Japanese game voice files,game_asset_highpass_loudnorm_no_denoise,8.0,24000,1,16,-19.2,-4.0,0.0,0.36,45.83,0.64,0.2936,0.6613,usable,,2026-07-25T07:02:22.689714+00:00,Yu Yu Hakusho Forever PS2 regular-Kurama battle-voice chapter; excludes the Youko Kurama chapter
godie-zombiex,聖杯黑泥醬－喪標麥可,incoming/downloaded_permitted/replacements/review3_sources/godie-no100__Ik38QlO6HvY.wav,https://www.youtube.com/watch?v=Ik38QlO6HvY,https://www.youtube.com/watch?v=Ik38QlO6HvY,5cfc890c55e2e1a42c8e1aed233858556f4cf7ff111be042e0d14260d1eaa357,manual:7.00:9.50,7.000,9.500,approved/replacements/raw/godie-zombiex.wav,approved/replacements/processed/godie-zombiex.wav,profile-matched Taiwan-dub Ryotsu performance,game_asset_highpass_loudnorm_no_denoise,9.5,24000,1,16,-19.3,-7.4,0.0,0.0,60.0,1.0,0.5564,0.3823,usable,,2026-07-25T07:02:23.182342+00:00,User explicitly mapped 喪標麥可 to the already approved Taiwan Taiwanese-language Ryotsu reference; frames show Ryotsu alone chanting throughout the selected span
godie-hblm,慈悲的王者－賈修貝爾,incoming/downloaded_permitted/replacements/review4_sources/godie-hblm__gash_kotodaman.mp4,https://www.youtube.com/watch?v=CTb1uou-MV8,https://www.youtube.com/watch?v=CTb1uou-MV8,664006673e693808d96680784c35a5433985cfc08d51b996c5971195e83e8d70,manual:2.60:11.90,2.600,11.900,approved/replacements/raw/godie-hblm.wav,approved/replacements/processed/godie-hblm.wav,exact named Japanese game character voice,game_asset_highpass_loudnorm_no_denoise,11.9,24000,1,16,-19.2,-5.8,0.0,0.379832,65.06,0.620168,0.2936,0.8433,usable,,2026-07-25T07:02:23.719275+00:00,Kotodaman collaboration screen labels ガッシュ＆清麿 and CV 大谷育江＆櫻井孝宏; selected lines are visually displayed as Gash's first-person speech and ASR confirms one continuous Gash performance; single-character asset overrides spectral speaker heuristic
godie-efur,揍敵客大家長－揍敵客桀諾,incoming/downloaded_permitted/replacements/review4_sources/godie-efur__zeno_monologue.mp4,https://www.youtube.com/watch?v=uUxZT7xu5Xk,https://www.youtube.com/watch?v=uUxZT7xu5Xk,124bc3a711cb222c5157c92e16b2818c0637a67d68d3c566ce596123554a28e3,manual:60.00:14.50,60.000,14.500,approved/replacements/raw/godie-efur.wav,approved/replacements/processed/godie-efur.wav,exact 2011 Japanese anime character performance,game_asset_highpass_loudnorm_no_denoise,14.5,24000,1,16,-18.8,-1.2,0.0,0.108966,33.7,0.891034,0.3579,0.5661,usable,,2026-07-25T07:02:24.277290+00:00,Zeno is alone on screen throughout the selected monologue; the passage discusses Netero's strength in Zeno's characteristic first-person narration and contains no other speaker
