rank,id,character,english_name,origin,review_status,issues,reason,priority,source_page,asset_label,selection_status
1,godie-e001,龍宮禮奈,Rena Ryugu,寒蟬鳴泣之時,preserve_normal,正常沒問題,,暫時略過,,,preserve_existing
2,godie-e002,Saber,Saber | Artoria Pendragon,Fate/stay night,replace,完全不是該角色,,必須重新抓取,https://sounds.spriters-resource.com/playstation_2/fateunlimitedcodes/asset/442784/,Artoria Pendragon - Saber,selected_exact_character
3,godie-e007,天地志狼,Shiro Amachi,龍狼傳,replace,完全不是該角色,,必須重新抓取,,,source_needed
4,godie-e008,夏娜,Shana,灼眼的夏娜,replace,完全不是該角色,,必須重新抓取,https://sounds.spriters-resource.com/playstation_3/dengekibunkofightingclimaxignition/asset/404901/,Shana's Voice,selected_exact_character
5,godie-e00k,安云,Azumi,あずみ,replace,完全不是該角色,,必須重新抓取,,,source_needed
6,godie-e00r,初號機,Evangelion Unit-01,新世紀福音戰士,replace,完全不是該角色,,必須重新抓取,,,source_needed
7,godie-e00w,櫻綻剎那,Setsuna Sakurazaki,魔法老師,replace,完全不是該角色,,必須重新抓取,,,source_needed
8,godie-edem,宇智波佐助,Sasuke Uchiha,火影忍者,replace,完全不是該角色,,必須重新抓取,https://sounds.spriters-resource.com/pc_computer/jumpforce/asset/444569/,Sasuke Uchiha,selected_exact_character
9,godie-emfr,涅吉,Negi Springfield,魔法老師,replace,完全不是該角色,,必須重新抓取,,,source_needed
10,godie-emns,夜神月,Light Yagami,死亡筆記本,replace,完全不是該角色,,必須重新抓取,,,source_needed
11,godie-etyr,木乃香,Konoka Konoe,魔法老師,replace,完全不是該角色,,必須重新抓取,,,source_needed
12,godie-h00l,林克,Link,薩爾達傳說,replace,完全不是該角色,,必須重新抓取,https://sounds.spriters-resource.com/nintendo_switch/supersmashbrosultimate/asset/409647/,Link,selected_exact_character
13,godie-h01n,黑崎一護,Ichigo Kurosaki,BLEACH,replace,完全不是該角色,,必須重新抓取,https://sounds.spriters-resource.com/pc_computer/jumpforce/asset/444543/,Ichigo Kurosaki,selected_exact_character
14,godie-h01u,呂布奉先,Lu Bu,真三國無雙,replace,完全不是該角色,,必須重新抓取,https://sounds.spriters-resource.com/playstation_2/dynastywarriors5/asset/396366/,Lu Bu,selected_exact_character
15,godie-h020,莉娜因巴斯,Lina Inverse,秀逗魔導士,replace,完全不是該角色,,必須重新抓取,https://sounds.spriters-resource.com/mobile/talesoftherays/asset/443255/,Lina,selected_exact_character
16,godie-h02k,熊貓,Panda,GGD原創,replace,沒有可播放音檔,,必須重新抓取,,,source_needed
17,godie-h02r,妙蛙花,Venusaur,寶可夢,replace,完全不是該角色,,必須重新抓取,https://sounds.spriters-resource.com/nintendo_64/heyyoupikachu/asset/418599/,Bulbasaur & Venusaur,selected_needs_file_filter
18,godie-h02u,草泥馬,Grass Mud Horse | Caonima,中國網路迷因,replace,沒有可播放音檔,,必須重新抓取,,,source_needed
19,godie-hapm,Berserker,Berserker | Heracles,Fate/stay night,replace,完全不是該角色,,必須重新抓取,https://sounds.spriters-resource.com/playstation_2/fateunlimitedcodes/asset/442791/,Heracles - Berserker,selected_exact_character
