id,character,status,issues,reason,reference_url,priority
godie-e002,Saber,locked_pass,正常沒問題,,,暫時略過
godie-e007,天地志狼,redo,完全不是該角色,,,必須重新抓取
godie-e008,夏娜,locked_pass,正常沒問題,,,暫時略過
godie-e00k,安云,redo,背景音樂太重,,,必須重新抓取
godie-e00r,初號機,locked_pass,正常沒問題,,,暫時略過
godie-e00w,櫻綻剎那,locked_pass,正常沒問題,,,暫時略過
godie-edem,宇智波佐助,locked_pass,正常沒問題,,,暫時略過
godie-emfr,涅吉,locked_pass,正常沒問題,,,暫時略過
godie-emns,夜神月,locked_pass,正常沒問題,,,暫時略過
godie-etyr,木乃香,locked_pass,正常沒問題,,,暫時略過
godie-h00l,林克,locked_pass,正常沒問題,,,暫時略過
godie-h01n,黑崎一護,locked_pass,正常沒問題,,,暫時略過
godie-h01u,呂布奉先,locked_pass,正常沒問題,,,暫時略過
godie-h020,莉娜因巴斯,redo,完全不是該角色,,,必須重新抓取
godie-h02k,熊貓,locked_pass,正常沒問題,,,暫時略過
godie-h02r,妙蛙花,redo,完全不是該角色,,,必須重新抓取
godie-h02u,草泥馬,locked_pass,正常沒問題,,,暫時略過
godie-hapm,Berserker,locked_pass,正常沒問題,,,暫時略過
godie-hart,克勞德,redo,完全不是該角色 | 背景音樂太重,,,必須重新抓取
godie-hpal,藤井八雲,redo,背景音樂太重,,,必須重新抓取
godie-hpb1,蒼月潮,redo,背景音樂太重 | 戰鬥音效太多,,,必須重新抓取
godie-huth,魔人普烏,locked_pass,正常沒問題,,,暫時略過
godie-hvsh,Rider,locked_pass,正常沒問題,,,暫時略過
godie-hvwd,桔梗,redo,完全不是該角色,,,必須重新抓取
godie-n003,依文潔琳,locked_pass,正常沒問題,,,暫時略過
godie-n00b,哆拉A夢,redo,背景音樂太重,,,必須重新抓取
godie-n00p,南野秀一,redo,完全不是該角色 | 主要是其他角色,,,必須重新抓取
godie-n01c,勇者小呆,locked_pass,正常沒問題,,,暫時略過
godie-o00k,皮卡娘,locked_pass,正常沒問題,,,暫時略過
godie-o00l,傑洛士,locked_pass,正常沒問題,,,暫時略過
godie-o00x,悟空,locked_pass,正常沒問題,,,暫時略過
godie-o02p,初音,locked_pass,正常沒問題,,,暫時略過
godie-ofar,皮卡丘,locked_pass,正常沒問題,,,暫時略過
godie-ogld,黑人牙膏,locked_pass,正常沒問題,,,暫時略過
godie-orkn,臭作,locked_pass,正常沒問題,,,暫時略過
godie-u00h,鬼畜狂刀KYO,locked_pass,正常沒問題,,,暫時略過
godie-u00k,死之王,redo,完全不是該角色,,,必須重新抓取
godie-u00l,拳四郎,locked_pass,正常沒問題,,,暫時略過
godie-u00n,蒙其.D.魯夫,locked_pass,正常沒問題,,,暫時略過
godie-u010,飛影,locked_pass,正常沒問題,,,暫時略過
godie-u01u,索隆,locked_pass,正常沒問題,,,暫時略過
godie-ubal,巴恩大魔王,redo,混到其他角色,,,必須重新抓取
godie-udea,飛鼠先生,locked_pass,正常沒問題,,,暫時略過
