id,character,query,result_rank,video_id,title,channel,duration,url
godie-e00k,安云,Azumi Azumi Japanese voice lines game,1,ZTbLX7BTrv4,Quotes: Hagumu Azumi,Magia Union Translations,595,https://www.youtube.com/watch?v=ZTbLX7BTrv4
godie-e00k,安云,Azumi Azumi Japanese voice lines game,2,yYkUsgPsecc,Anime voice actor Akari Kito,Aniboy 2.0,116,https://www.youtube.com/watch?v=yYkUsgPsecc
godie-e00k,安云,Azumi Azumi Japanese voice lines game,3,-ppxNNnwZ7c,[Eng Subs] Uma Gaming Boomerang Fu | Part 1,moe tabibito,919,https://www.youtube.com/watch?v=-ppxNNnwZ7c
godie-e00k,安云,Azumi Azumi Japanese voice lines game,4,bG1RbsMgl2E,[Eng sub] Tokyo Revengers Radio: Waki Azumi (Hina's VA)'s favourite character and jealous Draken,hoshi S,183,https://www.youtube.com/watch?v=bG1RbsMgl2E
godie-e00k,安云,Azumi Azumi Japanese voice lines game,5,M4hIjQqlse8,Kizuna A.I. swearing,Jonathan,60,https://www.youtube.com/watch?v=M4hIjQqlse8
godie-e00r,初號機,Evangelion Unit-01 Neon Genesis Evangelion Japanese voice lines game,1,VVtx3xE8uGQ,The Many Roars of Evangelion Unit 01,still_guns,77,https://www.youtube.com/watch?v=VVtx3xE8uGQ
godie-e00r,初號機,Evangelion Unit-01 Neon Genesis Evangelion Japanese voice lines game,2,KdmmYRPz1i0,Yui takes control of Eva unit 01 and begins devouring Zeruel [SUB ESP],mechazany,155,https://www.youtube.com/watch?v=KdmmYRPz1i0
godie-e00r,初號機,Evangelion Unit-01 Neon Genesis Evangelion Japanese voice lines game,3,Doh2LzWkxFU,Alex Jones unintentionally explains the plot of Neon Genesis Evangelion,sal,41,https://www.youtube.com/watch?v=Doh2LzWkxFU
godie-e00r,初號機,Evangelion Unit-01 Neon Genesis Evangelion Japanese voice lines game,4,U5tqnCPmSZ4,Evangelion - Eva 01 vs. Leliel,Eva 01,113,https://www.youtube.com/watch?v=U5tqnCPmSZ4
godie-e00r,初號機,Evangelion Unit-01 Neon Genesis Evangelion Japanese voice lines game,5,Qluqxizl6U0,THE MOST GLORIOUS SOUND IN THE GODDAMN UNIVERSE,Austin Anderson,11,https://www.youtube.com/watch?v=Qluqxizl6U0
godie-emns,夜神月,Light Yagami Death Note Japanese voice lines game,1,kAHNiJ9T2-M,Yagami Light | Death Note Writing Scene,Anime Fan Clips,40,https://www.youtube.com/watch?v=kAHNiJ9T2-M
godie-emns,夜神月,Light Yagami Death Note Japanese voice lines game,2,9hEHOaZYEeE,Death Note but you can't hear the internal monologues.,BluebsTopCat,178,https://www.youtube.com/watch?v=9hEHOaZYEeE
godie-emns,夜神月,Light Yagami Death Note Japanese voice lines game,3,C65oaIHsdYM,Death Note - Kira's Laugh (Original),GamingG,37,https://www.youtube.com/watch?v=C65oaIHsdYM
godie-emns,夜神月,Light Yagami Death Note Japanese voice lines game,4,cS9beE1e4QI,Light uses the death note for the greater good (Sound warning),Spine_apples,10,https://www.youtube.com/watch?v=cS9beE1e4QI
godie-emns,夜神月,Light Yagami Death Note Japanese voice lines game,5,b3Op_B5aqyA,Light gets shot: Original vs. Relight,Wildpawz,170,https://www.youtube.com/watch?v=b3Op_B5aqyA
godie-etyr,木乃香,Konoka Konoe Negima! Magister Negi Magi Japanese voice lines game,1,c3iWNrvUb30,Anime Voice Comparison-Negi Springfield (Mahou Sensei Negima!),God Rakan,156,https://www.youtube.com/watch?v=c3iWNrvUb30
godie-h02k,熊貓,Panda GGD Original Japanese voice lines game,1,nOJd3xoKMyI,The Weirdest Japanese Commercial (Yes Milk),Benson,37,https://www.youtube.com/watch?v=nOJd3xoKMyI
godie-h02k,熊貓,Panda GGD Original Japanese voice lines game,2,oTjFbKJYkkw,Family Guy   Chinese among Japanese,Sergios88,18,https://www.youtube.com/watch?v=oTjFbKJYkkw
godie-h02k,熊貓,Panda GGD Original Japanese voice lines game,3,t3rKrTehORY,Day in the Life of a Japanese Manga Creator,Paolo fromTOKYO,909,https://www.youtube.com/watch?v=t3rKrTehORY
godie-h02k,熊貓,Panda GGD Original Japanese voice lines game,4,SAfGX6OfRm8,TOP 100 Most Streamed JAPANESE SONGS (JPOP) of all time,RiNNE,804,https://www.youtube.com/watch?v=SAfGX6OfRm8
godie-h02k,熊貓,Panda GGD Original Japanese voice lines game,5,P_1yJRt6dQ4,Japanese Listening Practice With A Story #5 | Conveyor Belt Sushi [Beginner Level 1],Japarrot!- Let's Learn Japanese,418,https://www.youtube.com/watch?v=P_1yJRt6dQ4
godie-h02u,草泥馬,Grass Mud Horse Chinese Internet Meme Japanese voice lines game,1,gW2LtX1217s,Creed Temps As Regional Manager - The Office,The Office,190,https://www.youtube.com/watch?v=gW2LtX1217s
godie-h02u,草泥馬,Grass Mud Horse Chinese Internet Meme Japanese voice lines game,2,iRM4IVakW2w,"War of Ten Thousand Races: All His Card Heroes Are SSSS Gods and Demons, Sweeping Through Everything",Panda Fantasy Chronicles,101863,https://www.youtube.com/watch?v=iRM4IVakW2w
godie-h02u,草泥馬,Grass Mud Horse Chinese Internet Meme Japanese voice lines game,3,i-CLV1aHLdE,Marble Run Islands,5MadMovieMakers,97,https://www.youtube.com/watch?v=i-CLV1aHLdE
godie-h02u,草泥馬,Grass Mud Horse Chinese Internet Meme Japanese voice lines game,4,yIR3NU3P_bU,Car with giant bull as passenger pulled over by Nebraska police,NBC News,83,https://www.youtube.com/watch?v=yIR3NU3P_bU
godie-h02u,草泥馬,Grass Mud Horse Chinese Internet Meme Japanese voice lines game,5,uxPdPpi5W4o,"Why Are 96,000,000 Black Balls on This Reservoir?",Veritasium,727,https://www.youtube.com/watch?v=uxPdPpi5W4o
godie-hpb1,蒼月潮,Ushio Aotsuki Ushio and Tora Japanese voice lines game,1,yrX8Gj8paDg,Ushio to Tora AMV - Heroes Tonight,Shooter AMV,214,https://www.youtube.com/watch?v=yrX8Gj8paDg
godie-hvwd,桔梗,Kikyo Inuyasha Japanese voice lines game,1,EkWe71hmfeU,"Let's Play: InuYasha: SotCM - Part 01 ""You're Lame...""",WinslettXVI,1297,https://www.youtube.com/watch?v=EkWe71hmfeU
godie-hvwd,桔梗,Kikyo Inuyasha Japanese voice lines game,2,V1vPmlwlVc8,Naraku is such an sadistic guy,Zamasu,91,https://www.youtube.com/watch?v=V1vPmlwlVc8
godie-hvwd,桔梗,Kikyo Inuyasha Japanese voice lines game,3,cerhE7mbYsc,"Kaede say ""Kikyo its you*",kikyoou,17,https://www.youtube.com/watch?v=cerhE7mbYsc
godie-hvwd,桔梗,Kikyo Inuyasha Japanese voice lines game,4,ALKl8356grs,Yashahime:Princess Half-Demon Moroha VO,Ash_VO,55,https://www.youtube.com/watch?v=ALKl8356grs
godie-hvwd,桔梗,Kikyo Inuyasha Japanese voice lines game,5,VMhDAuMoRkA,Inuyasha : A Feudal Fairy Tale Isekai (2026) | Live Action Movie | Teaser Trailer,Beryl Studio,102,https://www.youtube.com/watch?v=VMhDAuMoRkA
godie-n00p,南野秀一,Kurama Yu Yu Hakusho Japanese voice lines game,1,gDHPcrC6nX4,POWERFUL DEMON FOX APPEAR !! [ Yokai Kurama in Dark Torunament - Yu Yu Hakusho ],Syafiq Mahayudin,2104,https://www.youtube.com/watch?v=gDHPcrC6nX4
godie-n00p,南野秀一,Kurama Yu Yu Hakusho Japanese voice lines game,2,LA4qy9WDYc4,Kurama...bleats (like a lamb) [Yu Yu Hakusho],Alex Nunez,231,https://www.youtube.com/watch?v=LA4qy9WDYc4
godie-n00p,南野秀一,Kurama Yu Yu Hakusho Japanese voice lines game,3,F8FJ1ZPv-TY,"Yoko Kurama ""Bang"" - Yu Yu Hakusho",Shadow Acer,5,https://www.youtube.com/watch?v=F8FJ1ZPv-TY
godie-n00p,南野秀一,Kurama Yu Yu Hakusho Japanese voice lines game,4,-OuCP8OLaPE,Yu Yu Hakusho Forever (PS2) Kurama voice files,Kat Quartz,956,https://www.youtube.com/watch?v=-OuCP8OLaPE
