id,character,candidate_url,attested_by,attested_at,allowed_uses,notes
godie-e001,龍宮禮奈,https://www.youtube.com/watch?v=jqLu4rKv0q4,workspace_user,2026-07-24,download; extract; synthetic_voice_reference,User confirmed rights for the exact candidate URL in this workspace task.
godie-e002,Saber,https://www.youtube.com/watch?v=zfjbLLxdZOU,workspace_user,2026-07-24,download; extract; synthetic_voice_reference,User confirmed rights for the exact candidate URL in this workspace task.
godie-e007,天地志狼,https://www.youtube.com/watch?v=_qF8GGFv3OA,workspace_user,2026-07-24,download; extract; synthetic_voice_reference,User confirmed rights for the exact candidate URL in this workspace task.
godie-e008,夏娜,https://www.youtube.com/watch?v=3mmXNmGCPwY,workspace_user,2026-07-24,download; extract; synthetic_voice_reference,User confirmed rights for the exact candidate URL in this workspace task.
godie-e00k,安云,https://www.youtube.com/watch?v=c4vd_ONS8YY,workspace_user,2026-07-24,download; extract; synthetic_voice_reference,User confirmed rights for the exact candidate URL in this workspace task.
godie-e00r,初號機,https://www.youtube.com/watch?v=WLHNOS80_W8,workspace_user,2026-07-24,download; extract; synthetic_voice_reference,User confirmed rights for the exact candidate URL in this workspace task.
godie-e00w,櫻綻剎那,https://www.youtube.com/watch?v=hPli1o3hB84,workspace_user,2026-07-24,download; extract; synthetic_voice_reference,User confirmed rights for the exact candidate URL in this workspace task.
godie-edem,宇智波佐助,https://www.youtube.com/watch?v=nhk8W8V91oY,workspace_user,2026-07-24,download; extract; synthetic_voice_reference,User confirmed rights for the exact candidate URL in this workspace task.
godie-emfr,涅吉,https://www.youtube.com/watch?v=hPli1o3hB84,workspace_user,2026-07-24,download; extract; synthetic_voice_reference,User confirmed rights for the exact candidate URL in this workspace task.
godie-emns,夜神月,https://www.youtube.com/watch?v=t7_A5SQhRuE,workspace_user,2026-07-24,download; extract; synthetic_voice_reference,User confirmed rights for the exact candidate URL in this workspace task.
godie-etyr,木乃香,https://www.youtube.com/watch?v=hPli1o3hB84,workspace_user,2026-07-24,download; extract; synthetic_voice_reference,User confirmed rights for the exact candidate URL in this workspace task.
godie-h00l,林克,https://www.youtube.com/watch?v=-MEo1tGalr0,workspace_user,2026-07-24,download; extract; synthetic_voice_reference,User confirmed rights for the exact candidate URL in this workspace task.
godie-h01n,黑崎一護,https://www.youtube.com/watch?v=K80l5SDGJZE,workspace_user,2026-07-24,download; extract; synthetic_voice_reference,User confirmed rights for the exact candidate URL in this workspace task.
godie-h01u,呂布奉先,https://www.youtube.com/watch?v=Y_UZ1HH03cw,workspace_user,2026-07-24,download; extract; synthetic_voice_reference,User confirmed rights for the exact candidate URL in this workspace task.
godie-h020,莉娜因巴斯,https://www.youtube.com/watch?v=wSwB05WyDGk,workspace_user,2026-07-24,download; extract; synthetic_voice_reference,User confirmed rights for the exact candidate URL in this workspace task.
godie-h02r,妙蛙花,https://www.youtube.com/watch?v=o8x8QmVyLps,workspace_user,2026-07-24,download; extract; synthetic_voice_reference,User confirmed rights for the exact candidate URL in this workspace task.
godie-hapm,Berserker,https://www.youtube.com/watch?v=yvRgz5KEPxQ,workspace_user,2026-07-24,download; extract; synthetic_voice_reference,User confirmed rights for the exact candidate URL in this workspace task.
godie-hart,克勞德,https://www.youtube.com/watch?v=VW5M0fm4LfE,workspace_user,2026-07-24,download; extract; synthetic_voice_reference,User confirmed rights for the exact candidate URL in this workspace task.
godie-hpb1,蒼月潮,https://www.youtube.com/watch?v=KMe4UYXNOmg,workspace_user,2026-07-24,download; extract; synthetic_voice_reference,User confirmed rights for the exact candidate URL in this workspace task.
godie-huth,魔人普烏,https://www.youtube.com/watch?v=lP18In8dUVo,workspace_user,2026-07-24,download; extract; synthetic_voice_reference,User confirmed rights for the exact candidate URL in this workspace task.
godie-hvsh,Rider,https://www.youtube.com/watch?v=ghwoaF-VYS0,workspace_user,2026-07-24,download; extract; synthetic_voice_reference,User confirmed rights for the exact candidate URL in this workspace task.
godie-hvwd,桔梗,https://www.youtube.com/watch?v=bixMsQ4eMsg,workspace_user,2026-07-24,download; extract; synthetic_voice_reference,User confirmed rights for the exact candidate URL in this workspace task.
godie-n003,依文潔琳,https://www.youtube.com/watch?v=hPli1o3hB84,workspace_user,2026-07-24,download; extract; synthetic_voice_reference,User confirmed rights for the exact candidate URL in this workspace task.
godie-n00b,哆拉A夢,https://www.youtube.com/watch?v=m9iperdA28E,workspace_user,2026-07-24,download; extract; synthetic_voice_reference,User confirmed rights for the exact candidate URL in this workspace task.
