id_a,character_a,id_b,character_b,similarity,collision_risk,recommended_fix
b2-elma,艾爾瑪,community-review-34-20260907,高速婆婆,0.7327,needs_review,改用更快語速
b2-matthias,馬提亞斯,b2-takopi,章魚嗶,0.7067,needs_review,改用非語言聲音
b2-kumoko,蜘蛛子,godie-etyr,木乃香,0.6947,needs_review,改用氣音
b2-sinbad,辛巴達,godie-o00l,傑洛士,0.6855,needs_review,提高音高
b2-matthias,馬提亞斯,godie-e008,夏娜,0.6213,acceptable,
b2-kumoko,蜘蛛子,godie-e008,夏娜,0.6186,acceptable,
b2-rem,蕾姆,godie-e00k,安云,0.6112,acceptable,
godie-u00l,拳四郎,godie-u01u,索隆,0.6104,acceptable,
b2-rem,蕾姆,godie-e001,龍宮禮奈,0.6081,acceptable,
b2-matthias,馬提亞斯,b2-rem,蕾姆,0.6069,acceptable,
b2-kumoko,蜘蛛子,b2-nube,鵺野鳴介,0.6048,acceptable,
b2-nube,鵺野鳴介,godie-h020,莉娜因巴斯,0.6028,acceptable,
b2-matthias,馬提亞斯,godie-etyr,木乃香,0.6014,acceptable,
community-review-27-20260907,庫洛魔法使,godie-e008,夏娜,0.6010,acceptable,
b2-kumoko,蜘蛛子,b2-matthias,馬提亞斯,0.5993,acceptable,
b2-uncle,異世界舅舅,godie-u00j,賽菲洛斯,0.5979,acceptable,
b2-zenitsu,我妻善逸,community-review-08-20260907,米卡莎,0.5976,acceptable,
community-review-16-20260907,魔法少女☆伊莉雅,godie-e001,龍宮禮奈,0.5949,acceptable,
godie-e001,龍宮禮奈,godie-n00b,哆拉A夢,0.5878,acceptable,
b2-goblin,哥布林殺手,community-review-23-20260907,坂田銀時,0.5854,acceptable,
godie-h020,莉娜因巴斯,godie-n00b,哆拉A夢,0.5853,acceptable,
godie-e002,Saber,godie-nplh,麻倉葉,0.5801,acceptable,
community-review-13-20260907,朝田詩乃,godie-emfr,涅吉,0.5794,acceptable,
community-review-32-20260907,阿薩謝爾,godie-etyr,木乃香,0.5794,acceptable,
b2-elma,艾爾瑪,godie-u00j,賽菲洛斯,0.5785,acceptable,
community-review-17-20260907,安茲·烏爾·恭,community-review-23-20260907,坂田銀時,0.5776,acceptable,
