階級,id,寶具名,權重,出現回合,抽中機率,每隊/每角上限,效能（卡面逐行）,翻盤力,引擎機制,tags,設計意圖／審查意見,修改需求
EX,godie-i00z,四魂之玉,1,2 / 5,—,—,"力敏智+30
魔力+300
[緩慢] 周圍敵方 總攻擊速度 減半
[緩慢] 周圍敵方 總移動速度 減半",2｜團隊光環,flat pctMult,wc3-import,,
EX,godie-i061,死之王的神盾,1,2 / 5,—,—,"[焚身] 每秒造成周圍範圍燃燒 10% AP 傷害
[腐蝕] 周圍敵方單位防禦 -30%
額外 [死之王套裝] 同時裝備死之王長槍、意志、神盾，則總 AP 額外 + 300%",2｜團隊光環,damageArea onInterval pctAdd pctMult,wc3-import,,
EX,godie-i03h,天地崩裂魔杖,1,2 / 5,—,—,"AP + 255
總AP + 10%
[暈眩] 施展技能的時候有 5%的機率招喚隕石流星雨，造成範圍 100% AP傷害及 2秒暈眩",1｜硬控,applyStatus damageArea onAbilityCast flat pctAdd,wc3-import,,
EX,godie-i02e,狂暴軒轅劍,1,2 / 5,—,—,,1｜硬控,applyStatus onBasicAttack pctAdd,wc3-import,,
EX,godie-i06j,獸人船長十字鎬,1,2 / 5,—,—,[暈眩] 11%機率攻擊附帶暈眩1秒,1｜硬控,applyStatus onBasicAttack,wc3-import,,
EX,godie-i013,緣一零式,1,2 / 5,—,—,"攻擊力+38
[暈眩] 8%的機率增加 140點傷害並暈眩0.1秒",1｜硬控,applyStatus damage onBasicAttack flat,wc3-import,,
EX,godie-i06o,血染八月,1,2 / 5,—,—,"攻擊力+88
[普通攻擊時] 攻擊敵方額外造成 88流血傷害，持續3秒
[暈眩] 50%機率造成 0.01秒暈眩",1｜硬控,applyStatus dot onBasicAttack flat,"wc3-import,onhit",,
EX,godie-i000,丈八蛇矛,1,2 / 5,—,—,"攻擊力+87
生命+872
[擴散] 擴散傷害87%",0｜數值型,damageArea onBasicAttack flat,wc3-import,,
EX,godie-i027,光魔杖,1,2 / 5,—,—,"[普通攻擊時] 普攻附加消耗自己現存 MP 5%並造成傷害
AP+ (目前MP的 5%)
每秒魔力回復+18",0｜數值型,damage spendMana stat onBasicAttack > flat percentOf,"wc3-import,onhit",,
EX,godie-i04d,冰晶虎魄 - 改,1,2 / 5,—,—,"[普通攻擊時] 普通攻擊附加冰凍效果，造成緩速 30%，持續0.6秒
[緩慢] 10%機率寒冰爆，範圍 300點傷害並緩速3秒",0｜數值型,applyStatus damageArea onBasicAttack,wc3-import,,
EX,godie-i03m,反射之盾,1,2 / 5,—,—,[反彈] 反彈普通攻擊傷害 200%,0｜數值型,damage onDamageTaken,wc3-import,,
EX,godie-i00u,名刀-天狼,1,2 / 5,—,—,"[普通攻擊時] 每次攻擊造成敵方英雄現存生命 6%傷害
攻擊速度+60%
普攻吸血+10%",0｜數值型,damage onBasicAttack flat pctAdd,wc3-import,,
EX,godie-i01n,天堂之劍,1,2 / 5,—,—,"總生命-50%
[暴擊吸血] 6%機率造成10倍暴擊傷害，暴擊時吸血回復100%傷害",0｜數值型,pctAdd,wc3-import,,
EX,godie-i00j,奇門盾甲,1,2 / 5,—,—,"每秒回復最大生命+1%
[格擋] 50%格擋 AD 及 AP 傷害 (真實傷害無法阻擋)",0｜數值型,heal onInterval,wc3-import,,
EX,godie-i06a,妖物碎殺牙,1,2 / 5,—,—,"攻擊力+112
吸血+15％
[普通攻擊時] 6%機率造成255傷害，持續3秒",0｜數值型,dot onBasicAttack flat,wc3-import,,
EX,godie-i039,幻之匕首,1,2 / 5,—,—,"[普通攻擊時] 3%機率造成敵方 20%生命傷害
[閃避] 閃避 + 10%",0｜數值型,damage spawnVfx onBasicAttack flat,wc3-import,,
EX,godie-i06d,斬龍刀,1,2 / 5,—,—,"攻擊力+128
防禦+12
[暴擊] 20%機率造成 2倍傷害",0｜數值型,flat,wc3-import,,
EX,godie-i016,晨曦之光,1,2 / 5,—,—,"[看穿] 看穿隱形
[格擋] 30%機率 抵擋致命一擊(超過現存生命的傷害)
每秒回魔+8
冷卻縮減+30%
[重創] 敵方攻擊時吸血效果降低50%吸血回復量",0｜數值型,applyBuff onDamageTaken flat pctMult,wc3-import,,
EX,godie-i06e,月牙魔杖,1,2 / 5,—,—,"[流星] 流星每秒造成 100% AP 範圍傷害（距離越遠流星傷害越低）
AP+369
魔抗+66.7%",0｜數值型,damageArea onInterval flat,wc3-import,,
EX,godie-i018,朗基努斯之槍,1,2 / 5,—,—,"力量+12
敏捷+12
[普通攻擊時] (總敏捷)% 機率性造成等同 (總力量) 之閃電傷害
[淨化] 普通攻擊時機率移除目標身上的增益",0｜數值型,damage dispel onBasicAttack,wc3-import,,
EX,cleaver-of-the-warden,泰坦九頭蛇,1,2 / 5,—,—,"最大生命+10%
[普通攻擊時] 攻擊附帶額外的（15+1.5%自身最大生命值）物理傷害攻擊特效，並生成一道衝擊波來對目標身後的敵人們造成（40+3%最大生命值）物理傷害。",0｜數值型,damage damageLine onBasicAttack pctAdd,"legendary,cleave,melee",,
EX,godie-i00i,炎龍巨弩,1,2 / 5,—,—,"[普通攻擊時] 每次普攻會同時發出 100% AP 傷害的炎龍怒火造成周圍 3名敵人燃燒傷害，持續3秒
AP+228
最大魔力+20%",0｜數值型,damageArea dot onBasicAttack flat pctAdd,wc3-import,,
EX,godie-i012,熾天使之弓,1,2 / 5,—,—,"[普通攻擊時] 每次削去敵方英雄現存 MP 3%，並附帶燃燒效果每秒燃燒3%最大生命，持續2秒
攻擊速度+30%",0｜數值型,dot spendMana onBasicAttack pctAdd,wc3-import,,
EX,godie-i020,瑪那魔杖,1,2 / 5,—,—,"AP+78
魔力+520
每秒魔力回復速度+12
[普通攻擊時] 普攻附加敵方現存 MP 5%傷害，並且回復己方 MP 該傷害量",0｜數值型,damage onBasicAttack flat,wc3-import,,
EX,godie-i01w,祕銀鎖子甲,1,2 / 5,—,—,"防禦+40
魔抗+40%
[重創] 敵方攻擊時吸血效果降低50%吸血回復量",0｜數值型,applyBuff onDamageTaken flat pctMult,wc3-import,,
EX,godie-i06n,老衲的棒子,1,2 / 5,—,—,[緩慢] 10%機率攻擊附帶移動速度減半，持續 4秒,0｜數值型,applyStatus onBasicAttack,"wc3-import,onhit",,
EX,godie-i007,虛哭神去,1,2 / 5,—,—,"普攻吸血+20%
[普通攻擊時] 每次攻擊造成造成額外 [自身已損失的生命百分比數值(0~100)]",0｜數值型,damage onBasicAttack flat,wc3-import,,
EX,godie-i01g,貫雷槍,1,2 / 5,—,—,"[緩慢] 8%的機率造成敵方緩速，移動速度 -2，持續 0.6秒
[伸長] 近戰攻擊距離+4；遠戰攻擊距離+2
[重創] 敵方攻擊時吸血效果降低50%吸血回復量",0｜數值型,applyBuff applyStatus onBasicAttack onDamageTaken flat pctMult,wc3-import,,
EX,godie-i01i,雷神之鎚,1,2 / 5,—,—,"[普通攻擊時] 7%機率產生造成 100% AP 雷電範圍傷害，[緩慢] 並使範圍內部隊移動速度下降50%，持續1秒
防禦+20
AP+130
[重創] 敵方攻擊時吸血效果降低50%吸血回復量",0｜數值型,applyBuff applyStatus damageArea onBasicAttack onDamageTaken flat pctMult,wc3-import,,
EX,godie-i00s,黃金聖鬥衣,1,2 / 5,—,—,"[格擋] 50%機率抵擋 100% AP傷害
生命+1200
魔力+1200
攻擊速度+120%
總移動速度*1.2",0｜數值型,flat pctAdd pctMult,wc3-import,,
EX∅ 根源,soul-gem,魂之寶石,1,10–10,8%,champion 限 1,"[魔女結界] 死亡時立即以 15%生命、100%魔力重新站起，8 秒內繼續戰鬥（每回合一次）
[魔女結界] 這 8 秒內擊殺敵方英雄 → 取消 8 秒後的死亡結算，並回復 30%最大生命（魔女化本身仍走完 8 秒）
[魔女結界] 沒有擊殺 → 8 秒後正式死亡
[魔女結界] ⚠️ 兩種情況站不起來（額度照樣用掉）：你是自己這一隊最後一個倒下的人（該分區當場結算），或火圈已經完全閉合",4｜復活·真傷,applyBuff damage delayed restore revive status onDeath onKill pctMult,"legendary,ex-origin,revive,reversal",,
EX∅ 根源,all-might-hair,歐爾麥特的頭髮,1,10–10,8%,champion 限 1,"[One For All・強制繼承] 隊友陣亡時，你的下一次普攻附帶巨大衝擊波
[One For All・強制繼承] 衝擊波造成 200%AD 物理傷害，並把**你打中的那名敵人**擊退 20 碼
[One For All・強制繼承] 這 20 秒內你**擊殺敵方英雄**時，立刻以 30%生命復活陣亡的隊友",3｜復活,applyBuff damageArea knockback revive onAllyDeath onBasicAttack onKill,"legendary,ex-origin,knockback,revive",,
EX∅ 根源,sasumata,討伐叉,1,10–10,8%,champion 限 1,"[合力制伏] 周圍每有一名活著的隊友（最多計 2 名），你與範圍內的隊友 攻擊力+12、護甲+3
[合力制伏] 身邊一名隊友都沒有時，這個增幅整份消失（不是變弱，是完全沒有）
[合力制伏] 隊友走出範圍就少一份，走回來立刻補上",2｜團隊光環,flat,"legendary,ex-origin,aura,teamplay",,
EX∅ 根源,touyako,洞爺湖,1,10–10,8%,champion 限 1,"[吐槽式強制淨化] 你被控制時（暈眩、定身、減速、致盲、詛咒都算），立刻淨化掉身上全部可淨化的減益
[吐槽式強制淨化] 並對兇手造成 100%AP 魔法傷害、附加 1 秒暈眩
[吐槽式強制淨化] 觸發間隔 1 秒",1｜硬控,applyStatus damage dispel onCrowdControlReceived,"legendary,ex-origin,cleanse,counter",,
EX∅ 根源,gantz-suit,GANTZ Suit,1,10–10,8%,champion 限 1,"[愉快的一天又來臨了] 擋下致命傷害並回復到 100%生命
[愉快的一天又來臨了] 每擋一次，AD+100%（每回合最多 3 次，回合結束重置）
[愉快的一天又來臨了] 觸發間隔 3 秒",0｜數值型,applyBuff pctAdd,"legendary,ex-origin,cheat-death,scaling",,
EX∅ 根源,senzu-bean,仙豆,1,10–10,8%,champion 限 1,"[只剩最後一顆！] 隊友受傷的那一刻，隊上生命低於 15%的人（**包含你自己**）立刻回復 100%生命與 100%魔力
[只剩最後一顆！] 並淨化他身上全部可淨化的減益
[只剩最後一顆！] 你自己受傷時同樣觸發（那一發只救你自己 · 冷卻時間 120 秒）
[只剩最後一顆！] **每人每回合各一顆**：吃過的人這一回合不會再吃到第二顆",0｜數值型,applyBuff dispel restore stat status onAllyDamaged onDamageTaken < >,"legendary,ex-origin,heal,cleanse",,
